ACTIVITY,DURATION
A43,40
A63,43
A60,233
A92,2
A57,3285
A46,1018
A98,1620
A35,410
A15,66
A58,1228
A49,706
A50,2
A51,475
A47,630
A53,6
A45,597
A111,496
A44,873
A54,1236
A55,457
A48,48
A59,467
A52,1742
A74,50
A6,82
A26,1524
A102,32
A71,1605
A16,165
A36,626
A112,559
A21,153
A24,873
A14,263
A103,333
A68,6851
A17,117
A87,1201
A93,3
A117,646
A86,580
A108,581
A13,199
A65,689
A62,2871
A38,886
A23,750
A82,329
A29,649
A73,2615
A33,497
A2,831
A28,614
A80,744
A101,1853
A118,714
A18,227
A42,660
A19,486
A114,415
A115,654
A110,3360
A20,240
A27,376
A34,457
A107,501
A85,2829
A91,842
A83,6713
A76,1026
A7,258
A79,208
A31,521
A3,499
A97,1232
A9,103
A61,1276
A96,1185
A32,812
A64,1
A70,1096
A25,6630
A100,1743
A81,1648
A4,167
A10,121
A95,2794
A22,151
A90,2189
A40,604
A39,739
A30,384
A67,2371
A94,17
A66,1049
A104,407
A109,350
A8,171
A88,1
A77,4
A105,874
A113,931
A72,2697
A89,911
A106,865
A116,136
A78,15
A99,180
A84,620
A37,564
A69,3251
A75,4085
A11,170
A5,648
A41,568
A12,172
