ACTIVITY,RESOURCE
A43,
A63,
A60,Practico
A92,Practico
A57,
A46,
A98,
A35,Practico
A15,Practico
A58,Practico
A49,Practico
A50,Practico
A51,Practico
A47,
A53,Practico
A45,
A111,Practico
A44,Practico
A54,
A55,
A48,
A59,
A52,
A74,Practico
A6,Practico
A26,Practico
A102,Practico
A71,Practico
A16,Practico
A36,Practico
A112,Practico
A21,Practico
A24,Practico
A14,Practico
A103,Practico
A68,Practico
A17,Practico
A87,Practico
A93,Practico
A117,Practico
A86,Practico
A108,Practico
A13,Practico
A65,Practico
A62,
A38,Practico
A23,Practico
A82,Practico
A29,Practico
A73,Practico
A33,Practico
A2,Practico
A28,Practico
A80,Practico
A101,Practico
A118,Practico
A18,Practico
A42,Practico
A19,Practico
A114,Practico
A115,Practico
A110,Practico
A20,Practico
A27,Practico
A34,Practico
A107,Practico
A85,Practico
A91,Practico
A83,Practico
A76,Practico
A7,Practico
A79,Practico
A31,Practico
A3,Practico
A97,Practico
A9,Practico
A61,
A96,Practico
A32,Practico
A64,Practico
A70,Practico
A25,Practico
A100,Practico
A81,Practico
A4,Practico
A10,Practico
A95,Practico
A22,Practico
A90,Practico
A40,Practico
A39,Practico
A30,Practico
A67,Practico
A94,Practico
A66,Practico
A104,Practico
A109,Practico
A8,Practico
A88,Practico
A77,Practico
A105,Practico
A113,Practico
A72,Practico
A89,Practico
A106,Practico
A116,Practico
A78,Practico
A99,Practico
A84,Practico
A37,Practico
A69,Practico
A75,Practico
A11,Practico
A5,Practico
A41,Practico
A12,Practico
