GATEWAY_ID,ACTIVITY,PERCENTAGE
node-e0fd9d39-b441-4bd8-b615-1abdb864b0d7,A47,80
node-e0fd9d39-b441-4bd8-b615-1abdb864b0d7,A109,20
node-e3c870af-b181-467b-a71e-b99d05af4d1a,A49,100
node-3e779407-4fd8-40c9-a0ee-c1b08a80da20,A46,100
node-8bac633f-c41a-4400-ae5e-8193196aa190,A53,100
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A87,3
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A95,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A90,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A86,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A76,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A79,13
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A96,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A69,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A65,12
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A67,15
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A85,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A71,11
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A82,7
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A70,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A72,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A75,5
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A73,3
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A88,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A80,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A91,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A83,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A92,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A84,2
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A89,1
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A64,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A81,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A68,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A93,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A94,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A74,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A66,8
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A77,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A97,0
node-10e5ff1b-d7ab-495d-a8ef-d6f2e6da9683,A78,12
node-e4bf9026-4a1a-48bd-9252-cd06ba2ddc79,,100
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A105,15
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A117,13
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A100,1
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A118,5
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A112,37
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A106,2
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A115,3
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A113,4
node-f6ae3a1e-0101-4815-b584-3ca527e6f748,A104,20
node-0f0b8ed9-3592-422f-a2c7-17268f52d389,A13,99
node-0f0b8ed9-3592-422f-a2c7-17268f52d389,A20,1
node-4dd55ea0-8039-40fa-829d-2498dc8c793b,A50,100
node-753ffe3b-4a0b-4964-9940-bad76da5d6b1,A107,91
node-753ffe3b-4a0b-4964-9940-bad76da5d6b1,A116,6
node-753ffe3b-4a0b-4964-9940-bad76da5d6b1,A102,2
node-753ffe3b-4a0b-4964-9940-bad76da5d6b1,A99,1
