case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-04-01 00:00:00,2021-04-02 05:02:00
1,A52,2021-04-01 00:00:00,2021-04-02 05:02:00
0,A43,2021-04-02 05:02:00,2021-04-02 05:42:00
1,A43,2021-04-02 05:02:00,2021-04-02 05:42:00
0,A63,2021-04-02 05:42:00,2021-04-02 06:25:00
1,A63,2021-04-02 05:42:00,2021-04-02 06:25:00
0,A60,2021-04-02 06:25:00,2021-04-02 10:18:00
1,A60,2021-04-02 06:25:00,2021-04-02 10:18:00
0,A78,2021-04-02 10:18:00,2021-04-02 10:33:00
0,A46,2021-04-02 10:33:00,2021-04-03 03:31:00
1,A71,2021-04-02 10:18:00,2021-04-03 13:03:00
1,A46,2021-04-03 13:03:00,2021-04-04 06:01:00
0,A57,2021-04-03 03:31:00,2021-04-05 10:16:00
0,A61,2021-04-05 10:16:00,2021-04-06 07:32:00
0,A13,2021-04-06 07:32:00,2021-04-06 10:51:00
1,A57,2021-04-04 06:01:00,2021-04-06 12:46:00
0,A58,2021-04-06 10:51:00,2021-04-07 07:19:00
0,A50,2021-04-07 07:19:00,2021-04-07 07:21:00
1,A61,2021-04-06 12:46:00,2021-04-07 10:02:00
1,A13,2021-04-07 10:02:00,2021-04-07 13:21:00
0,A51,2021-04-07 07:21:00,2021-04-07 15:16:00
0,A33,2021-04-07 15:16:00,2021-04-07 23:33:00
1,A58,2021-04-07 13:21:00,2021-04-08 09:49:00
1,A50,2021-04-08 09:49:00,2021-04-08 09:51:00
0,A49,2021-04-07 23:33:00,2021-04-08 11:19:00
1,A51,2021-04-08 09:51:00,2021-04-08 17:46:00
0,A47,2021-04-08 11:19:00,2021-04-08 21:49:00
1,A33,2021-04-08 17:46:00,2021-04-09 02:03:00
0,A117,2021-04-08 21:49:00,2021-04-09 08:35:00
1,A49,2021-04-09 02:03:00,2021-04-09 13:49:00
0,A55,2021-04-09 08:35:00,2021-04-09 16:12:00
0,A114,2021-04-09 16:12:00,2021-04-09 23:07:00
1,A47,2021-04-09 13:49:00,2021-04-10 00:19:00
1,A104,2021-04-10 00:19:00,2021-04-10 07:06:00
0,A44,2021-04-09 23:07:00,2021-04-10 13:40:00
1,A44,2021-04-10 07:06:00,2021-04-10 21:39:00
0,A107,2021-04-10 13:40:00,2021-04-10 22:01:00
1,A102,2021-04-10 21:39:00,2021-04-10 22:11:00
0,A54,2021-04-10 22:01:00,2021-04-11 18:37:00
0,A48,2021-04-11 18:37:00,2021-04-11 19:25:00
1,A119,2021-04-10 22:11:00,2021-04-10 23:11:00
1,A56,2021-04-10 23:11:00,2021-04-11 02:11:00
1,A1,2021-04-11 02:11:00,2021-04-11 10:53:00
0,A119,2021-04-11 19:25:00,2021-04-11 20:25:00
0,A56,2021-04-11 20:25:00,2021-04-11 23:25:00
0,A1,2021-04-11 23:25:00,2021-04-12 08:48:00
