case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-02-04 00:00:00,2021-02-05 05:02:00
1,A52,2021-02-04 00:00:00,2021-02-05 05:02:00
2,A52,2021-02-04 00:00:00,2021-02-05 05:02:00
0,A43,2021-02-05 05:02:00,2021-02-05 05:42:00
1,A43,2021-02-05 05:02:00,2021-02-05 05:42:00
2,A43,2021-02-05 05:02:00,2021-02-05 05:42:00
0,A63,2021-02-05 05:42:00,2021-02-05 06:25:00
1,A63,2021-02-05 05:42:00,2021-02-05 06:25:00
2,A63,2021-02-05 05:42:00,2021-02-05 06:25:00
0,A60,2021-02-05 06:25:00,2021-02-05 10:18:00
1,A60,2021-02-05 06:25:00,2021-02-05 10:18:00
2,A60,2021-02-05 06:25:00,2021-02-05 10:18:00
2,A79,2021-02-05 10:18:00,2021-02-05 13:46:00
1,A82,2021-02-05 10:18:00,2021-02-05 15:47:00
0,A66,2021-02-05 10:18:00,2021-02-06 03:47:00
2,A46,2021-02-05 13:46:00,2021-02-06 06:44:00
1,A46,2021-02-05 15:47:00,2021-02-06 08:45:00
0,A46,2021-02-06 03:47:00,2021-02-06 20:45:00
2,A57,2021-02-06 06:44:00,2021-02-08 13:29:00
2,A15,2021-02-08 13:29:00,2021-02-08 14:35:00
1,A57,2021-02-06 08:45:00,2021-02-08 15:30:00
1,A15,2021-02-08 15:30:00,2021-02-08 16:36:00
0,A57,2021-02-06 20:45:00,2021-02-09 03:30:00
2,A58,2021-02-08 14:35:00,2021-02-09 11:03:00
2,A50,2021-02-09 11:03:00,2021-02-09 11:05:00
1,A58,2021-02-08 16:36:00,2021-02-09 13:04:00
1,A50,2021-02-09 13:04:00,2021-02-09 13:06:00
2,A51,2021-02-09 11:05:00,2021-02-09 19:00:00
1,A51,2021-02-09 13:06:00,2021-02-09 21:01:00
0,A61,2021-02-09 03:30:00,2021-02-10 00:46:00
0,A13,2021-02-10 00:46:00,2021-02-10 04:05:00
2,A36,2021-02-09 19:00:00,2021-02-10 05:26:00
2,A16,2021-02-10 05:26:00,2021-02-10 08:11:00
1,A32,2021-02-09 21:01:00,2021-02-10 10:33:00
1,A12,2021-02-10 10:33:00,2021-02-10 13:25:00
0,A58,2021-02-10 04:05:00,2021-02-11 00:33:00
0,A50,2021-02-11 00:33:00,2021-02-11 00:35:00
2,A58,2021-02-10 08:11:00,2021-02-11 04:39:00
2,A50,2021-02-11 04:39:00,2021-02-11 04:41:00
0,A51,2021-02-11 00:35:00,2021-02-11 08:30:00
1,A58,2021-02-10 13:25:00,2021-02-11 09:53:00
1,A50,2021-02-11 09:53:00,2021-02-11 09:55:00
2,A51,2021-02-11 04:41:00,2021-02-11 12:36:00
1,A51,2021-02-11 09:55:00,2021-02-11 17:50:00
0,A32,2021-02-11 08:30:00,2021-02-11 22:02:00
0,A12,2021-02-11 22:02:00,2021-02-12 00:54:00
2,A32,2021-02-11 12:36:00,2021-02-12 02:08:00
2,A12,2021-02-12 02:08:00,2021-02-12 05:00:00
1,A38,2021-02-11 17:50:00,2021-02-12 08:36:00
1,A49,2021-02-12 08:36:00,2021-02-12 20:22:00
0,A58,2021-02-12 00:54:00,2021-02-12 21:22:00
0,A50,2021-02-12 21:22:00,2021-02-12 21:24:00
2,A58,2021-02-12 05:00:00,2021-02-13 01:28:00
2,A50,2021-02-13 01:28:00,2021-02-13 01:30:00
0,A51,2021-02-12 21:24:00,2021-02-13 05:19:00
1,A47,2021-02-12 20:22:00,2021-02-13 06:52:00
2,A51,2021-02-13 01:30:00,2021-02-13 09:25:00
0,A35,2021-02-13 05:19:00,2021-02-13 12:09:00
1,A104,2021-02-13 06:52:00,2021-02-13 13:39:00
2,A41,2021-02-13 09:25:00,2021-02-13 18:53:00
2,A21,2021-02-13 18:53:00,2021-02-13 21:26:00
0,A49,2021-02-13 12:09:00,2021-02-13 23:55:00
1,A44,2021-02-13 13:39:00,2021-02-14 04:12:00
0,A47,2021-02-13 23:55:00,2021-02-14 10:25:00
1,A107,2021-02-14 04:12:00,2021-02-14 12:33:00
2,A58,2021-02-13 21:26:00,2021-02-14 17:54:00
2,A50,2021-02-14 17:54:00,2021-02-14 17:56:00
0,A105,2021-02-14 10:25:00,2021-02-15 00:59:00
2,A51,2021-02-14 17:56:00,2021-02-15 01:51:00
0,A55,2021-02-15 00:59:00,2021-02-15 08:36:00
1,A54,2021-02-14 12:33:00,2021-02-15 09:09:00
1,A48,2021-02-15 09:09:00,2021-02-15 09:57:00
2,A32,2021-02-15 01:51:00,2021-02-15 15:23:00
0,A114,2021-02-15 08:36:00,2021-02-15 15:31:00
2,A12,2021-02-15 15:23:00,2021-02-15 18:15:00
0,A44,2021-02-15 15:31:00,2021-02-16 06:04:00
0,A107,2021-02-16 06:04:00,2021-02-16 14:25:00
2,A58,2021-02-15 18:15:00,2021-02-16 14:43:00
2,A50,2021-02-16 14:43:00,2021-02-16 14:45:00
2,A51,2021-02-16 14:45:00,2021-02-16 22:40:00
0,A54,2021-02-16 14:25:00,2021-02-17 11:01:00
0,A48,2021-02-17 11:01:00,2021-02-17 11:49:00
2,A32,2021-02-16 22:40:00,2021-02-17 12:12:00
2,A12,2021-02-17 12:12:00,2021-02-17 15:04:00
2,A58,2021-02-17 15:04:00,2021-02-18 11:32:00
2,A50,2021-02-18 11:32:00,2021-02-18 11:34:00
2,A51,2021-02-18 11:34:00,2021-02-18 19:29:00
2,A36,2021-02-18 19:29:00,2021-02-19 05:55:00
2,A16,2021-02-19 05:55:00,2021-02-19 08:40:00
2,A58,2021-02-19 08:40:00,2021-02-20 05:08:00
2,A50,2021-02-20 05:08:00,2021-02-20 05:10:00
2,A51,2021-02-20 05:10:00,2021-02-20 13:05:00
2,A31,2021-02-20 13:05:00,2021-02-20 21:46:00
2,A11,2021-02-20 21:46:00,2021-02-21 00:36:00
2,A58,2021-02-21 00:36:00,2021-02-21 21:04:00
2,A50,2021-02-21 21:04:00,2021-02-21 21:06:00
2,A51,2021-02-21 21:06:00,2021-02-22 05:01:00
2,A32,2021-02-22 05:01:00,2021-02-22 18:33:00
2,A12,2021-02-22 18:33:00,2021-02-22 21:25:00
