case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-06-13 00:00:00,2021-06-14 05:02:00
1,A52,2021-06-13 00:00:00,2021-06-14 05:02:00
2,A52,2021-06-13 00:00:00,2021-06-14 05:02:00
3,A52,2021-06-13 00:00:00,2021-06-14 05:02:00
4,A52,2021-06-13 00:00:00,2021-06-14 05:02:00
5,A52,2021-06-13 00:00:00,2021-06-14 05:02:00
0,A43,2021-06-14 05:02:00,2021-06-14 05:42:00
1,A43,2021-06-14 05:02:00,2021-06-14 05:42:00
2,A43,2021-06-14 05:02:00,2021-06-14 05:42:00
3,A43,2021-06-14 05:02:00,2021-06-14 05:42:00
4,A43,2021-06-14 05:02:00,2021-06-14 05:42:00
5,A43,2021-06-14 05:02:00,2021-06-14 05:42:00
0,A63,2021-06-14 05:42:00,2021-06-14 06:25:00
1,A63,2021-06-14 05:42:00,2021-06-14 06:25:00
2,A63,2021-06-14 05:42:00,2021-06-14 06:25:00
3,A63,2021-06-14 05:42:00,2021-06-14 06:25:00
4,A63,2021-06-14 05:42:00,2021-06-14 06:25:00
5,A63,2021-06-14 05:42:00,2021-06-14 06:25:00
0,A60,2021-06-14 06:25:00,2021-06-14 10:18:00
1,A60,2021-06-14 06:25:00,2021-06-14 10:18:00
2,A60,2021-06-14 06:25:00,2021-06-14 10:18:00
3,A60,2021-06-14 06:25:00,2021-06-14 10:18:00
4,A60,2021-06-14 06:25:00,2021-06-14 10:18:00
5,A60,2021-06-14 06:25:00,2021-06-14 10:18:00
0,A78,2021-06-14 10:18:00,2021-06-14 10:33:00
3,A86,2021-06-14 10:18:00,2021-06-14 19:58:00
1,A65,2021-06-14 10:18:00,2021-06-14 21:47:00
0,A46,2021-06-14 10:33:00,2021-06-15 03:31:00
2,A96,2021-06-14 10:18:00,2021-06-15 06:03:00
3,A46,2021-06-14 19:58:00,2021-06-15 12:56:00
1,A46,2021-06-14 21:47:00,2021-06-15 14:45:00
2,A46,2021-06-15 06:03:00,2021-06-15 23:01:00
5,A85,2021-06-14 10:18:00,2021-06-16 09:27:00
4,A75,2021-06-14 10:18:00,2021-06-17 06:23:00
0,A57,2021-06-15 03:31:00,2021-06-17 10:16:00
0,A18,2021-06-17 10:16:00,2021-06-17 14:03:00
3,A57,2021-06-15 12:56:00,2021-06-17 19:41:00
1,A57,2021-06-15 14:45:00,2021-06-17 21:30:00
4,A46,2021-06-17 06:23:00,2021-06-17 23:21:00
3,A18,2021-06-17 19:41:00,2021-06-17 23:28:00
2,A57,2021-06-15 23:01:00,2021-06-18 05:46:00
5,A62,2021-06-16 09:27:00,2021-06-18 09:18:00
0,A58,2021-06-17 14:03:00,2021-06-18 10:31:00
0,A50,2021-06-18 10:31:00,2021-06-18 10:33:00
5,A4,2021-06-18 09:18:00,2021-06-18 12:05:00
0,A51,2021-06-18 10:33:00,2021-06-18 18:28:00
1,A61,2021-06-17 21:30:00,2021-06-18 18:46:00
3,A58,2021-06-17 23:28:00,2021-06-18 19:56:00
3,A50,2021-06-18 19:56:00,2021-06-18 19:58:00
1,A13,2021-06-18 18:46:00,2021-06-18 22:05:00
2,A61,2021-06-18 05:46:00,2021-06-19 03:02:00
3,A51,2021-06-18 19:58:00,2021-06-19 03:53:00
0,A28,2021-06-18 18:28:00,2021-06-19 04:42:00
2,A13,2021-06-19 03:02:00,2021-06-19 06:21:00
0,A8,2021-06-19 04:42:00,2021-06-19 07:33:00
5,A58,2021-06-18 12:05:00,2021-06-19 08:33:00
5,A50,2021-06-19 08:33:00,2021-06-19 08:35:00
3,A39,2021-06-19 03:53:00,2021-06-19 16:12:00
5,A51,2021-06-19 08:35:00,2021-06-19 16:30:00
1,A58,2021-06-18 22:05:00,2021-06-19 18:33:00
1,A50,2021-06-19 18:33:00,2021-06-19 18:35:00
3,A19,2021-06-19 16:12:00,2021-06-20 00:18:00
1,A51,2021-06-19 18:35:00,2021-06-20 02:30:00
5,A28,2021-06-19 16:30:00,2021-06-20 02:44:00
2,A58,2021-06-19 06:21:00,2021-06-20 02:49:00
2,A50,2021-06-20 02:49:00,2021-06-20 02:51:00
0,A58,2021-06-19 07:33:00,2021-06-20 04:01:00
0,A50,2021-06-20 04:01:00,2021-06-20 04:03:00
5,A8,2021-06-20 02:44:00,2021-06-20 05:35:00
4,A57,2021-06-17 23:21:00,2021-06-20 06:06:00
4,A18,2021-06-20 06:06:00,2021-06-20 09:53:00
2,A51,2021-06-20 02:51:00,2021-06-20 10:46:00
1,A33,2021-06-20 02:30:00,2021-06-20 10:47:00
0,A51,2021-06-20 04:03:00,2021-06-20 11:58:00
2,A33,2021-06-20 10:46:00,2021-06-20 19:03:00
3,A58,2021-06-20 00:18:00,2021-06-20 20:46:00
3,A50,2021-06-20 20:46:00,2021-06-20 20:48:00
0,A36,2021-06-20 11:58:00,2021-06-20 22:24:00
1,A49,2021-06-20 10:47:00,2021-06-20 22:33:00
0,A16,2021-06-20 22:24:00,2021-06-21 01:09:00
5,A58,2021-06-20 05:35:00,2021-06-21 02:03:00
5,A50,2021-06-21 02:03:00,2021-06-21 02:05:00
3,A51,2021-06-20 20:48:00,2021-06-21 04:43:00
4,A58,2021-06-20 09:53:00,2021-06-21 06:21:00
4,A50,2021-06-21 06:21:00,2021-06-21 06:23:00
2,A49,2021-06-20 19:03:00,2021-06-21 06:49:00
1,A47,2021-06-20 22:33:00,2021-06-21 09:03:00
5,A51,2021-06-21 02:05:00,2021-06-21 10:00:00
4,A51,2021-06-21 06:23:00,2021-06-21 14:18:00
3,A29,2021-06-21 04:43:00,2021-06-21 15:32:00
1,A104,2021-06-21 09:03:00,2021-06-21 15:50:00
2,A47,2021-06-21 06:49:00,2021-06-21 17:19:00
5,A37,2021-06-21 10:00:00,2021-06-21 19:24:00
0,A58,2021-06-21 01:09:00,2021-06-21 21:37:00
