case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-10-15 00:00:00,2021-10-16 05:02:00
1,A52,2021-10-15 00:00:00,2021-10-16 05:02:00
0,A43,2021-10-16 05:02:00,2021-10-16 05:42:00
1,A43,2021-10-16 05:02:00,2021-10-16 05:42:00
0,A63,2021-10-16 05:42:00,2021-10-16 06:25:00
1,A63,2021-10-16 05:42:00,2021-10-16 06:25:00
0,A60,2021-10-16 06:25:00,2021-10-16 10:18:00
1,A60,2021-10-16 06:25:00,2021-10-16 10:18:00
1,A66,2021-10-16 10:18:00,2021-10-17 03:47:00
0,A71,2021-10-16 10:18:00,2021-10-17 13:03:00
1,A46,2021-10-17 03:47:00,2021-10-17 20:45:00
0,A46,2021-10-17 13:03:00,2021-10-18 06:01:00
1,A57,2021-10-17 20:45:00,2021-10-20 03:30:00
0,A57,2021-10-18 06:01:00,2021-10-20 12:46:00
1,A61,2021-10-20 03:30:00,2021-10-21 00:46:00
1,A13,2021-10-21 00:46:00,2021-10-21 04:05:00
0,A61,2021-10-20 12:46:00,2021-10-21 10:02:00
0,A13,2021-10-21 10:02:00,2021-10-21 13:21:00
1,A58,2021-10-21 04:05:00,2021-10-22 00:33:00
1,A50,2021-10-22 00:33:00,2021-10-22 00:35:00
1,A51,2021-10-22 00:35:00,2021-10-22 08:30:00
0,A58,2021-10-21 13:21:00,2021-10-22 09:49:00
0,A50,2021-10-22 09:49:00,2021-10-22 09:51:00
0,A51,2021-10-22 09:51:00,2021-10-22 17:46:00
1,A36,2021-10-22 08:30:00,2021-10-22 18:56:00
1,A16,2021-10-22 18:56:00,2021-10-22 21:41:00
0,A33,2021-10-22 17:46:00,2021-10-23 02:03:00
0,A49,2021-10-23 02:03:00,2021-10-23 13:49:00
1,A58,2021-10-22 21:41:00,2021-10-23 18:09:00
1,A50,2021-10-23 18:09:00,2021-10-23 18:11:00
0,A47,2021-10-23 13:49:00,2021-10-24 00:19:00
1,A51,2021-10-23 18:11:00,2021-10-24 02:06:00
1,A33,2021-10-24 02:06:00,2021-10-24 10:23:00
0,A105,2021-10-24 00:19:00,2021-10-24 14:53:00
1,A49,2021-10-24 10:23:00,2021-10-24 22:09:00
0,A55,2021-10-24 14:53:00,2021-10-24 22:30:00
0,A103,2021-10-24 22:30:00,2021-10-25 04:03:00
1,A47,2021-10-24 22:09:00,2021-10-25 08:39:00
1,A118,2021-10-25 08:39:00,2021-10-25 20:33:00
0,A54,2021-10-25 04:03:00,2021-10-26 00:39:00
0,A48,2021-10-26 00:39:00,2021-10-26 01:27:00
1,A44,2021-10-25 20:33:00,2021-10-26 11:06:00
1,A107,2021-10-26 11:06:00,2021-10-26 19:27:00
1,A54,2021-10-26 19:27:00,2021-10-27 16:03:00
1,A48,2021-10-27 16:03:00,2021-10-27 16:51:00
0,A119,2021-10-26 01:27:00,2021-10-26 02:27:00
0,A56,2021-10-26 02:27:00,2021-10-26 05:27:00
0,A1,2021-10-26 05:27:00,2021-10-26 14:38:00
1,A119,2021-10-27 16:51:00,2021-10-27 17:51:00
1,A56,2021-10-27 17:51:00,2021-10-27 20:51:00
1,A1,2021-10-27 20:51:00,2021-10-28 05:22:00
