case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-01-24 00:00:00,2021-01-25 05:02:00
1,A52,2021-01-24 00:00:00,2021-01-25 05:02:00
2,A52,2021-01-24 00:00:00,2021-01-25 05:02:00
0,A43,2021-01-25 05:02:00,2021-01-25 05:42:00
1,A43,2021-01-25 05:02:00,2021-01-25 05:42:00
2,A43,2021-01-25 05:02:00,2021-01-25 05:42:00
0,A63,2021-01-25 05:42:00,2021-01-25 06:25:00
1,A63,2021-01-25 05:42:00,2021-01-25 06:25:00
2,A63,2021-01-25 05:42:00,2021-01-25 06:25:00
0,A60,2021-01-25 06:25:00,2021-01-25 10:18:00
1,A60,2021-01-25 06:25:00,2021-01-25 10:18:00
2,A60,2021-01-25 06:25:00,2021-01-25 10:18:00
0,A79,2021-01-25 10:18:00,2021-01-25 13:46:00
1,A82,2021-01-25 10:18:00,2021-01-25 15:47:00
0,A46,2021-01-25 13:46:00,2021-01-26 06:44:00
1,A46,2021-01-25 15:47:00,2021-01-26 08:45:00
2,A71,2021-01-25 10:18:00,2021-01-26 13:03:00
2,A46,2021-01-26 13:03:00,2021-01-27 06:01:00
0,A57,2021-01-26 06:44:00,2021-01-28 13:29:00
1,A57,2021-01-26 08:45:00,2021-01-28 15:30:00
1,A15,2021-01-28 15:30:00,2021-01-28 16:36:00
0,A61,2021-01-28 13:29:00,2021-01-29 10:45:00
2,A57,2021-01-27 06:01:00,2021-01-29 12:46:00
1,A58,2021-01-28 16:36:00,2021-01-29 13:04:00
1,A50,2021-01-29 13:04:00,2021-01-29 13:06:00
0,A13,2021-01-29 10:45:00,2021-01-29 14:04:00
1,A51,2021-01-29 13:06:00,2021-01-29 21:01:00
1,A33,2021-01-29 21:01:00,2021-01-30 05:18:00
2,A61,2021-01-29 12:46:00,2021-01-30 10:02:00
0,A58,2021-01-29 14:04:00,2021-01-30 10:32:00
0,A50,2021-01-30 10:32:00,2021-01-30 10:34:00
2,A13,2021-01-30 10:02:00,2021-01-30 13:21:00
1,A49,2021-01-30 05:18:00,2021-01-30 17:04:00
0,A51,2021-01-30 10:34:00,2021-01-30 18:29:00
1,A47,2021-01-30 17:04:00,2021-01-31 03:34:00
0,A29,2021-01-30 18:29:00,2021-01-31 05:18:00
2,A58,2021-01-30 13:21:00,2021-01-31 09:49:00
2,A50,2021-01-31 09:49:00,2021-01-31 09:51:00
1,A112,2021-01-31 03:34:00,2021-01-31 12:53:00
1,A53,2021-01-31 12:53:00,2021-01-31 12:59:00
0,A49,2021-01-31 05:18:00,2021-01-31 17:04:00
2,A51,2021-01-31 09:51:00,2021-01-31 17:46:00
1,A45,2021-01-31 12:59:00,2021-01-31 22:56:00
0,A47,2021-01-31 17:04:00,2021-02-01 03:34:00
2,A36,2021-01-31 17:46:00,2021-02-01 04:12:00
2,A16,2021-02-01 04:12:00,2021-02-01 06:57:00
0,A118,2021-02-01 03:34:00,2021-02-01 15:28:00
2,A58,2021-02-01 06:57:00,2021-02-02 03:25:00
2,A50,2021-02-02 03:25:00,2021-02-02 03:27:00
1,A101,2021-01-31 22:56:00,2021-02-02 05:49:00
0,A44,2021-02-01 15:28:00,2021-02-02 06:01:00
0,A116,2021-02-02 06:01:00,2021-02-02 08:17:00
2,A51,2021-02-02 03:27:00,2021-02-02 11:22:00
1,A55,2021-02-02 05:49:00,2021-02-02 13:26:00
2,A33,2021-02-02 11:22:00,2021-02-02 19:39:00
1,A114,2021-02-02 13:26:00,2021-02-02 20:21:00
0,A54,2021-02-02 08:17:00,2021-02-03 04:53:00
0,A48,2021-02-03 04:53:00,2021-02-03 05:41:00
2,A49,2021-02-02 19:39:00,2021-02-03 07:25:00
1,A44,2021-02-02 20:21:00,2021-02-03 10:54:00
2,A47,2021-02-03 07:25:00,2021-02-03 17:55:00
1,A107,2021-02-03 10:54:00,2021-02-03 19:15:00
2,A118,2021-02-03 17:55:00,2021-02-04 05:49:00
1,A54,2021-02-03 19:15:00,2021-02-04 15:51:00
1,A48,2021-02-04 15:51:00,2021-02-04 16:39:00
2,A44,2021-02-04 05:49:00,2021-02-04 20:22:00
2,A107,2021-02-04 20:22:00,2021-02-05 04:43:00
2,A54,2021-02-05 04:43:00,2021-02-06 01:19:00
2,A48,2021-02-06 01:19:00,2021-02-06 02:07:00
0,A119,2021-02-03 05:41:00,2021-02-03 06:41:00
0,A56,2021-02-03 06:41:00,2021-02-03 09:41:00
0,A1,2021-02-03 09:41:00,2021-02-03 18:45:00
1,A119,2021-02-04 16:39:00,2021-02-04 17:39:00
1,A56,2021-02-04 17:39:00,2021-02-04 20:39:00
1,A1,2021-02-04 20:39:00,2021-02-05 05:11:00
2,A119,2021-02-06 02:07:00,2021-02-06 03:07:00
2,A56,2021-02-06 03:07:00,2021-02-06 06:07:00
2,A1,2021-02-06 06:07:00,2021-02-06 14:52:00
