case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-12-26 00:00:00,2021-12-27 05:02:00
1,A52,2021-12-26 00:00:00,2021-12-27 05:02:00
0,A43,2021-12-27 05:02:00,2021-12-27 05:42:00
1,A43,2021-12-27 05:02:00,2021-12-27 05:42:00
0,A63,2021-12-27 05:42:00,2021-12-27 06:25:00
1,A63,2021-12-27 05:42:00,2021-12-27 06:25:00
0,A60,2021-12-27 06:25:00,2021-12-27 10:18:00
1,A60,2021-12-27 06:25:00,2021-12-27 10:18:00
0,A65,2021-12-27 10:18:00,2021-12-27 21:47:00
0,A46,2021-12-27 21:47:00,2021-12-28 14:45:00
1,A67,2021-12-27 10:18:00,2021-12-29 01:49:00
1,A46,2021-12-29 01:49:00,2021-12-29 18:47:00
0,A57,2021-12-28 14:45:00,2021-12-30 21:30:00
0,A61,2021-12-30 21:30:00,2021-12-31 18:46:00
0,A13,2021-12-31 18:46:00,2021-12-31 22:05:00
1,A57,2021-12-29 18:47:00,2022-01-01 01:32:00
0,A58,2021-12-31 22:05:00,2022-01-01 18:33:00
0,A50,2022-01-01 18:33:00,2022-01-01 18:35:00
1,A61,2022-01-01 01:32:00,2022-01-01 22:48:00
1,A13,2022-01-01 22:48:00,2022-01-02 02:07:00
0,A51,2022-01-01 18:35:00,2022-01-02 02:30:00
0,A28,2022-01-02 02:30:00,2022-01-02 12:44:00
0,A8,2022-01-02 12:44:00,2022-01-02 15:35:00
1,A58,2022-01-02 02:07:00,2022-01-02 22:35:00
1,A50,2022-01-02 22:35:00,2022-01-02 22:37:00
1,A51,2022-01-02 22:37:00,2022-01-03 06:32:00
0,A58,2022-01-02 15:35:00,2022-01-03 12:03:00
0,A50,2022-01-03 12:03:00,2022-01-03 12:05:00
1,A41,2022-01-03 06:32:00,2022-01-03 16:00:00
1,A21,2022-01-03 16:00:00,2022-01-03 18:33:00
0,A51,2022-01-03 12:05:00,2022-01-03 20:00:00
0,A41,2022-01-03 20:00:00,2022-01-04 05:28:00
0,A21,2022-01-04 05:28:00,2022-01-04 08:01:00
1,A58,2022-01-03 18:33:00,2022-01-04 15:01:00
1,A50,2022-01-04 15:01:00,2022-01-04 15:03:00
1,A51,2022-01-04 15:03:00,2022-01-04 22:58:00
0,A58,2022-01-04 08:01:00,2022-01-05 04:29:00
0,A50,2022-01-05 04:29:00,2022-01-05 04:31:00
1,A28,2022-01-04 22:58:00,2022-01-05 09:12:00
1,A8,2022-01-05 09:12:00,2022-01-05 12:03:00
0,A51,2022-01-05 04:31:00,2022-01-05 12:26:00
0,A23,2022-01-05 12:26:00,2022-01-06 00:56:00
1,A58,2022-01-05 12:03:00,2022-01-06 08:31:00
1,A50,2022-01-06 08:31:00,2022-01-06 08:33:00
0,A49,2022-01-06 00:56:00,2022-01-06 12:42:00
1,A51,2022-01-06 08:33:00,2022-01-06 16:28:00
0,A47,2022-01-06 12:42:00,2022-01-06 23:12:00
1,A33,2022-01-06 16:28:00,2022-01-07 00:45:00
0,A112,2022-01-06 23:12:00,2022-01-07 08:31:00
0,A53,2022-01-07 08:31:00,2022-01-07 08:37:00
1,A49,2022-01-07 00:45:00,2022-01-07 12:31:00
0,A45,2022-01-07 08:37:00,2022-01-07 18:34:00
1,A47,2022-01-07 12:31:00,2022-01-07 23:01:00
0,A111,2022-01-07 18:34:00,2022-01-08 02:50:00
1,A104,2022-01-07 23:01:00,2022-01-08 05:48:00
0,A44,2022-01-08 02:50:00,2022-01-08 17:23:00
1,A44,2022-01-08 05:48:00,2022-01-08 20:21:00
0,A107,2022-01-08 17:23:00,2022-01-09 01:44:00
1,A107,2022-01-08 20:21:00,2022-01-09 04:42:00
0,A54,2022-01-09 01:44:00,2022-01-09 22:20:00
0,A48,2022-01-09 22:20:00,2022-01-09 23:08:00
1,A54,2022-01-09 04:42:00,2022-01-10 01:18:00
1,A48,2022-01-10 01:18:00,2022-01-10 02:06:00
