case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-07-31 00:00:00,2021-08-01 05:02:00
1,A52,2021-07-31 00:00:00,2021-08-01 05:02:00
0,A43,2021-08-01 05:02:00,2021-08-01 05:42:00
1,A43,2021-08-01 05:02:00,2021-08-01 05:42:00
0,A63,2021-08-01 05:42:00,2021-08-01 06:25:00
1,A63,2021-08-01 05:42:00,2021-08-01 06:25:00
0,A60,2021-08-01 06:25:00,2021-08-01 10:18:00
1,A60,2021-08-01 06:25:00,2021-08-01 10:18:00
1,A66,2021-08-01 10:18:00,2021-08-02 03:47:00
0,A71,2021-08-01 10:18:00,2021-08-02 13:03:00
1,A46,2021-08-02 03:47:00,2021-08-02 20:45:00
0,A46,2021-08-02 13:03:00,2021-08-03 06:01:00
1,A57,2021-08-02 20:45:00,2021-08-05 03:30:00
0,A57,2021-08-03 06:01:00,2021-08-05 12:46:00
1,A61,2021-08-05 03:30:00,2021-08-06 00:46:00
1,A13,2021-08-06 00:46:00,2021-08-06 04:05:00
0,A61,2021-08-05 12:46:00,2021-08-06 10:02:00
0,A13,2021-08-06 10:02:00,2021-08-06 13:21:00
1,A58,2021-08-06 04:05:00,2021-08-07 00:33:00
1,A50,2021-08-07 00:33:00,2021-08-07 00:35:00
1,A51,2021-08-07 00:35:00,2021-08-07 08:30:00
0,A58,2021-08-06 13:21:00,2021-08-07 09:49:00
0,A50,2021-08-07 09:49:00,2021-08-07 09:51:00
1,A31,2021-08-07 08:30:00,2021-08-07 17:11:00
0,A51,2021-08-07 09:51:00,2021-08-07 17:46:00
1,A11,2021-08-07 17:11:00,2021-08-07 20:01:00
0,A36,2021-08-07 17:46:00,2021-08-08 04:12:00
0,A16,2021-08-08 04:12:00,2021-08-08 06:57:00
1,A58,2021-08-07 20:01:00,2021-08-08 16:29:00
1,A50,2021-08-08 16:29:00,2021-08-08 16:31:00
1,A51,2021-08-08 16:31:00,2021-08-09 00:26:00
0,A58,2021-08-08 06:57:00,2021-08-09 03:25:00
0,A50,2021-08-09 03:25:00,2021-08-09 03:27:00
1,A33,2021-08-09 00:26:00,2021-08-09 08:43:00
0,A51,2021-08-09 03:27:00,2021-08-09 11:22:00
1,A49,2021-08-09 08:43:00,2021-08-09 20:29:00
0,A24,2021-08-09 11:22:00,2021-08-10 01:55:00
1,A47,2021-08-09 20:29:00,2021-08-10 06:59:00
0,A49,2021-08-10 01:55:00,2021-08-10 13:41:00
1,A117,2021-08-10 06:59:00,2021-08-10 17:45:00
0,A47,2021-08-10 13:41:00,2021-08-11 00:11:00
1,A55,2021-08-10 17:45:00,2021-08-11 01:22:00
1,A114,2021-08-11 01:22:00,2021-08-11 08:17:00
0,A112,2021-08-11 00:11:00,2021-08-11 09:30:00
0,A53,2021-08-11 09:30:00,2021-08-11 09:36:00
0,A45,2021-08-11 09:36:00,2021-08-11 19:33:00
1,A44,2021-08-11 08:17:00,2021-08-11 22:50:00
1,A107,2021-08-11 22:50:00,2021-08-12 07:11:00
0,A101,2021-08-11 19:33:00,2021-08-13 02:26:00
1,A54,2021-08-12 07:11:00,2021-08-13 03:47:00
1,A48,2021-08-13 03:47:00,2021-08-13 04:35:00
0,A55,2021-08-13 02:26:00,2021-08-13 10:03:00
0,A103,2021-08-13 10:03:00,2021-08-13 15:36:00
0,A54,2021-08-13 15:36:00,2021-08-14 12:12:00
0,A48,2021-08-14 12:12:00,2021-08-14 13:00:00
1,A119,2021-08-13 04:35:00,2021-08-13 05:35:00
1,A56,2021-08-13 05:35:00,2021-08-13 08:35:00
1,A1,2021-08-13 08:35:00,2021-08-13 17:37:00
