case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-06-01 00:00:00,2021-06-02 05:02:00
0,A43,2021-06-02 05:02:00,2021-06-02 05:42:00
0,A63,2021-06-02 05:42:00,2021-06-02 06:25:00
0,A60,2021-06-02 06:25:00,2021-06-02 10:18:00
0,A78,2021-06-02 10:18:00,2021-06-02 10:33:00
0,A46,2021-06-02 10:33:00,2021-06-03 03:31:00
0,A57,2021-06-03 03:31:00,2021-06-03 03:37:00
0,A61,2021-06-03 03:37:00,2021-06-04 00:53:00
0,A13,2021-06-04 00:53:00,2021-06-04 04:12:00
0,A58,2021-06-04 04:12:00,2021-06-05 00:40:00
0,A50,2021-06-05 00:40:00,2021-06-05 00:42:00
0,A51,2021-06-05 00:42:00,2021-06-05 08:37:00
0,A33,2021-06-05 08:37:00,2021-06-05 16:54:00
0,A49,2021-06-05 16:54:00,2021-06-06 04:40:00
0,A109,2021-06-06 04:40:00,2021-06-06 10:30:00
0,A53,2021-06-06 10:30:00,2021-06-06 10:36:00
0,A45,2021-06-06 10:36:00,2021-06-06 20:33:00
0,A111,2021-06-06 20:33:00,2021-06-07 04:49:00
0,A44,2021-06-07 04:49:00,2021-06-07 19:22:00
0,A107,2021-06-07 19:22:00,2021-06-08 03:43:00
0,A54,2021-06-08 03:43:00,2021-06-09 00:19:00
0,A48,2021-06-09 00:19:00,2021-06-09 01:07:00
0,A119,2021-06-09 01:07:00,2021-06-09 02:07:00
0,A56,2021-06-09 02:07:00,2021-06-09 05:07:00
0,A1,2021-06-09 05:07:00,2021-06-09 14:14:00
