case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-05-03 00:00:00,2021-05-04 05:02:00
1,A52,2021-05-03 00:00:00,2021-05-04 05:02:00
2,A52,2021-05-03 00:00:00,2021-05-04 05:02:00
0,A43,2021-05-04 05:02:00,2021-05-04 05:42:00
1,A43,2021-05-04 05:02:00,2021-05-04 05:42:00
2,A43,2021-05-04 05:02:00,2021-05-04 05:42:00
0,A63,2021-05-04 05:42:00,2021-05-04 06:25:00
1,A63,2021-05-04 05:42:00,2021-05-04 06:25:00
2,A63,2021-05-04 05:42:00,2021-05-04 06:25:00
0,A60,2021-05-04 06:25:00,2021-05-04 10:18:00
1,A60,2021-05-04 06:25:00,2021-05-04 10:18:00
2,A60,2021-05-04 06:25:00,2021-05-04 10:18:00
0,A79,2021-05-04 10:18:00,2021-05-04 13:46:00
2,A79,2021-05-04 10:18:00,2021-05-04 13:46:00
0,A46,2021-05-04 13:46:00,2021-05-05 06:44:00
2,A46,2021-05-04 13:46:00,2021-05-05 06:44:00
0,A57,2021-05-05 06:44:00,2021-05-05 06:50:00
2,A57,2021-05-05 06:44:00,2021-05-05 06:50:00
2,A15,2021-05-05 06:50:00,2021-05-05 07:56:00
1,A67,2021-05-04 10:18:00,2021-05-06 01:49:00
0,A61,2021-05-05 06:50:00,2021-05-06 04:06:00
2,A58,2021-05-05 07:56:00,2021-05-06 04:24:00
2,A50,2021-05-06 04:24:00,2021-05-06 04:26:00
0,A13,2021-05-06 04:06:00,2021-05-06 07:25:00
2,A51,2021-05-06 04:26:00,2021-05-06 12:21:00
1,A46,2021-05-06 01:49:00,2021-05-06 18:47:00
1,A57,2021-05-06 18:47:00,2021-05-06 18:53:00
2,A29,2021-05-06 12:21:00,2021-05-06 23:10:00
0,A58,2021-05-06 07:25:00,2021-05-07 03:53:00
0,A50,2021-05-07 03:53:00,2021-05-07 03:55:00
2,A49,2021-05-06 23:10:00,2021-05-07 10:56:00
0,A51,2021-05-07 03:55:00,2021-05-07 11:50:00
1,A61,2021-05-06 18:53:00,2021-05-07 16:09:00
2,A109,2021-05-07 10:56:00,2021-05-07 16:46:00
2,A53,2021-05-07 16:46:00,2021-05-07 16:52:00
1,A13,2021-05-07 16:09:00,2021-05-07 19:28:00
0,A33,2021-05-07 11:50:00,2021-05-07 20:07:00
2,A45,2021-05-07 16:52:00,2021-05-08 02:49:00
0,A49,2021-05-07 20:07:00,2021-05-08 07:53:00
1,A58,2021-05-07 19:28:00,2021-05-08 15:56:00
1,A50,2021-05-08 15:56:00,2021-05-08 15:58:00
0,A47,2021-05-08 07:53:00,2021-05-08 18:23:00
1,A51,2021-05-08 15:58:00,2021-05-08 23:53:00
0,A117,2021-05-08 18:23:00,2021-05-09 05:09:00
1,A41,2021-05-08 23:53:00,2021-05-09 09:21:00
1,A21,2021-05-09 09:21:00,2021-05-09 11:54:00
0,A55,2021-05-09 05:09:00,2021-05-09 12:46:00
0,A103,2021-05-09 12:46:00,2021-05-09 18:19:00
1,A58,2021-05-09 11:54:00,2021-05-10 08:22:00
1,A50,2021-05-10 08:22:00,2021-05-10 08:24:00
2,A110,2021-05-08 02:49:00,2021-05-10 10:49:00
0,A54,2021-05-09 18:19:00,2021-05-10 14:55:00
0,A48,2021-05-10 14:55:00,2021-05-10 15:43:00
1,A51,2021-05-10 08:24:00,2021-05-10 16:19:00
2,A55,2021-05-10 10:49:00,2021-05-10 18:26:00
2,A103,2021-05-10 18:26:00,2021-05-10 23:59:00
1,A31,2021-05-10 16:19:00,2021-05-11 01:00:00
1,A11,2021-05-11 01:00:00,2021-05-11 03:50:00
2,A54,2021-05-10 23:59:00,2021-05-11 20:35:00
2,A48,2021-05-11 20:35:00,2021-05-11 21:23:00
1,A58,2021-05-11 03:50:00,2021-05-12 00:18:00
1,A50,2021-05-12 00:18:00,2021-05-12 00:20:00
1,A51,2021-05-12 00:20:00,2021-05-12 08:15:00
1,A33,2021-05-12 08:15:00,2021-05-12 16:32:00
1,A49,2021-05-12 16:32:00,2021-05-13 04:18:00
1,A47,2021-05-13 04:18:00,2021-05-13 14:48:00
1,A105,2021-05-13 14:48:00,2021-05-14 05:22:00
1,A55,2021-05-14 05:22:00,2021-05-14 12:59:00
1,A114,2021-05-14 12:59:00,2021-05-14 19:54:00
1,A44,2021-05-14 19:54:00,2021-05-15 10:27:00
1,A107,2021-05-15 10:27:00,2021-05-15 18:48:00
1,A54,2021-05-15 18:48:00,2021-05-16 15:24:00
1,A48,2021-05-16 15:24:00,2021-05-16 16:12:00
0,A119,2021-05-10 15:43:00,2021-05-10 16:43:00
0,A56,2021-05-10 16:43:00,2021-05-10 19:43:00
0,A1,2021-05-10 19:43:00,2021-05-11 04:27:00
