case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-01-04 00:00:00,2021-01-05 05:02:00
1,A52,2021-01-04 00:00:00,2021-01-05 05:02:00
2,A52,2021-01-04 00:00:00,2021-01-05 05:02:00
0,A43,2021-01-05 05:02:00,2021-01-05 05:42:00
1,A43,2021-01-05 05:02:00,2021-01-05 05:42:00
2,A43,2021-01-05 05:02:00,2021-01-05 05:42:00
0,A63,2021-01-05 05:42:00,2021-01-05 06:25:00
1,A63,2021-01-05 05:42:00,2021-01-05 06:25:00
2,A63,2021-01-05 05:42:00,2021-01-05 06:25:00
0,A60,2021-01-05 06:25:00,2021-01-05 10:18:00
1,A60,2021-01-05 06:25:00,2021-01-05 10:18:00
2,A60,2021-01-05 06:25:00,2021-01-05 10:18:00
0,A92,2021-01-05 10:18:00,2021-01-05 10:20:00
1,A79,2021-01-05 10:18:00,2021-01-05 13:46:00
2,A65,2021-01-05 10:18:00,2021-01-05 21:47:00
1,A46,2021-01-05 13:46:00,2021-01-06 06:44:00
0,A98,2021-01-05 10:20:00,2021-01-06 13:20:00
2,A46,2021-01-05 21:47:00,2021-01-06 14:45:00
0,A17,2021-01-06 13:20:00,2021-01-06 15:17:00
0,A58,2021-01-06 15:17:00,2021-01-07 11:45:00
0,A50,2021-01-07 11:45:00,2021-01-07 11:47:00
0,A51,2021-01-07 11:47:00,2021-01-07 19:42:00
0,A33,2021-01-07 19:42:00,2021-01-08 03:59:00
1,A57,2021-01-06 06:44:00,2021-01-08 13:29:00
0,A49,2021-01-08 03:59:00,2021-01-08 15:45:00
2,A57,2021-01-06 14:45:00,2021-01-08 21:30:00
2,A15,2021-01-08 21:30:00,2021-01-08 22:36:00
0,A47,2021-01-08 15:45:00,2021-01-09 02:15:00
1,A61,2021-01-08 13:29:00,2021-01-09 10:45:00
0,A117,2021-01-09 02:15:00,2021-01-09 13:01:00
1,A13,2021-01-09 10:45:00,2021-01-09 14:04:00
2,A58,2021-01-08 22:36:00,2021-01-09 19:04:00
2,A50,2021-01-09 19:04:00,2021-01-09 19:06:00
0,A55,2021-01-09 13:01:00,2021-01-09 20:38:00
2,A51,2021-01-09 19:06:00,2021-01-10 03:01:00
0,A114,2021-01-09 20:38:00,2021-01-10 03:33:00
1,A58,2021-01-09 14:04:00,2021-01-10 10:32:00
1,A50,2021-01-10 10:32:00,2021-01-10 10:34:00
2,A29,2021-01-10 03:01:00,2021-01-10 13:50:00
0,A44,2021-01-10 03:33:00,2021-01-10 18:06:00
1,A51,2021-01-10 10:34:00,2021-01-10 18:29:00
2,A49,2021-01-10 13:50:00,2021-01-11 01:36:00
0,A107,2021-01-10 18:06:00,2021-01-11 02:27:00
1,A36,2021-01-10 18:29:00,2021-01-11 04:55:00
1,A16,2021-01-11 04:55:00,2021-01-11 07:40:00
2,A47,2021-01-11 01:36:00,2021-01-11 12:06:00
2,A112,2021-01-11 12:06:00,2021-01-11 21:25:00
2,A53,2021-01-11 21:25:00,2021-01-11 21:31:00
0,A54,2021-01-11 02:27:00,2021-01-11 23:03:00
0,A48,2021-01-11 23:03:00,2021-01-11 23:51:00
1,A58,2021-01-11 07:40:00,2021-01-12 04:08:00
1,A50,2021-01-12 04:08:00,2021-01-12 04:10:00
2,A45,2021-01-11 21:31:00,2021-01-12 07:28:00
1,A51,2021-01-12 04:10:00,2021-01-12 12:05:00
2,A111,2021-01-12 07:28:00,2021-01-12 15:44:00
1,A37,2021-01-12 12:05:00,2021-01-12 21:29:00
2,A44,2021-01-12 15:44:00,2021-01-13 06:17:00
1,A49,2021-01-12 21:29:00,2021-01-13 09:15:00
2,A107,2021-01-13 06:17:00,2021-01-13 14:38:00
1,A109,2021-01-13 09:15:00,2021-01-13 15:05:00
1,A53,2021-01-13 15:05:00,2021-01-13 15:11:00
1,A45,2021-01-13 15:11:00,2021-01-14 01:08:00
2,A54,2021-01-13 14:38:00,2021-01-14 11:14:00
2,A48,2021-01-14 11:14:00,2021-01-14 12:02:00
1,A2,2021-01-14 01:08:00,2021-01-14 14:59:00
1,A55,2021-01-14 14:59:00,2021-01-14 22:36:00
1,A114,2021-01-14 22:36:00,2021-01-15 05:31:00
1,A44,2021-01-15 05:31:00,2021-01-15 20:04:00
1,A107,2021-01-15 20:04:00,2021-01-16 04:25:00
1,A54,2021-01-16 04:25:00,2021-01-17 01:01:00
1,A48,2021-01-17 01:01:00,2021-01-17 01:49:00
0,A119,2021-01-11 23:51:00,2021-01-12 00:51:00
0,A56,2021-01-12 00:51:00,2021-01-12 03:51:00
0,A1,2021-01-12 03:51:00,2021-01-12 12:33:00
2,A119,2021-01-14 12:02:00,2021-01-14 13:02:00
2,A56,2021-01-14 13:02:00,2021-01-14 16:02:00
2,A1,2021-01-14 16:02:00,2021-01-15 00:55:00
1,A119,2021-01-17 01:49:00,2021-01-17 02:49:00
1,A56,2021-01-17 02:49:00,2021-01-17 05:49:00
1,A1,2021-01-17 05:49:00,2021-01-17 14:26:00
