case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-04-17 00:00:00,2021-04-18 05:02:00
1,A52,2021-04-17 00:00:00,2021-04-18 05:02:00
0,A43,2021-04-18 05:02:00,2021-04-18 05:42:00
1,A43,2021-04-18 05:02:00,2021-04-18 05:42:00
0,A63,2021-04-18 05:42:00,2021-04-18 06:25:00
1,A63,2021-04-18 05:42:00,2021-04-18 06:25:00
0,A60,2021-04-18 06:25:00,2021-04-18 10:18:00
1,A60,2021-04-18 06:25:00,2021-04-18 10:18:00
0,A65,2021-04-18 10:18:00,2021-04-18 21:47:00
1,A87,2021-04-18 10:18:00,2021-04-19 06:19:00
0,A46,2021-04-18 21:47:00,2021-04-19 14:45:00
0,A57,2021-04-19 14:45:00,2021-04-19 14:51:00
1,A46,2021-04-19 06:19:00,2021-04-19 23:17:00
1,A57,2021-04-19 23:17:00,2021-04-19 23:23:00
1,A15,2021-04-19 23:23:00,2021-04-20 00:29:00
0,A61,2021-04-19 14:51:00,2021-04-20 12:07:00
0,A13,2021-04-20 12:07:00,2021-04-20 15:26:00
1,A58,2021-04-20 00:29:00,2021-04-20 20:57:00
1,A50,2021-04-20 20:57:00,2021-04-20 20:59:00
1,A51,2021-04-20 20:59:00,2021-04-21 04:54:00
0,A58,2021-04-20 15:26:00,2021-04-21 11:54:00
0,A50,2021-04-21 11:54:00,2021-04-21 11:56:00
1,A31,2021-04-21 04:54:00,2021-04-21 13:35:00
1,A11,2021-04-21 13:35:00,2021-04-21 16:25:00
0,A51,2021-04-21 11:56:00,2021-04-21 19:51:00
0,A28,2021-04-21 19:51:00,2021-04-22 06:05:00
0,A8,2021-04-22 06:05:00,2021-04-22 08:56:00
1,A58,2021-04-21 16:25:00,2021-04-22 12:53:00
1,A50,2021-04-22 12:53:00,2021-04-22 12:55:00
1,A51,2021-04-22 12:55:00,2021-04-22 20:50:00
0,A58,2021-04-22 08:56:00,2021-04-23 05:24:00
0,A50,2021-04-23 05:24:00,2021-04-23 05:26:00
1,A29,2021-04-22 20:50:00,2021-04-23 07:39:00
0,A51,2021-04-23 05:26:00,2021-04-23 13:21:00
1,A49,2021-04-23 07:39:00,2021-04-23 19:25:00
0,A31,2021-04-23 13:21:00,2021-04-23 22:02:00
0,A11,2021-04-23 22:02:00,2021-04-24 00:52:00
1,A109,2021-04-23 19:25:00,2021-04-24 01:15:00
1,A53,2021-04-24 01:15:00,2021-04-24 01:21:00
1,A45,2021-04-24 01:21:00,2021-04-24 11:18:00
0,A58,2021-04-24 00:52:00,2021-04-24 21:20:00
0,A50,2021-04-24 21:20:00,2021-04-24 21:22:00
0,A51,2021-04-24 21:22:00,2021-04-25 05:17:00
0,A31,2021-04-25 05:17:00,2021-04-25 13:58:00
0,A11,2021-04-25 13:58:00,2021-04-25 16:48:00
1,A101,2021-04-24 11:18:00,2021-04-25 18:11:00
1,A55,2021-04-25 18:11:00,2021-04-26 01:48:00
1,A114,2021-04-26 01:48:00,2021-04-26 08:43:00
0,A58,2021-04-25 16:48:00,2021-04-26 13:16:00
