case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-09-19 00:00:00,2021-09-20 05:02:00
1,A52,2021-09-19 00:00:00,2021-09-20 05:02:00
2,A52,2021-09-19 00:00:00,2021-09-20 05:02:00
0,A43,2021-09-20 05:02:00,2021-09-20 05:42:00
1,A43,2021-09-20 05:02:00,2021-09-20 05:42:00
2,A43,2021-09-20 05:02:00,2021-09-20 05:42:00
0,A63,2021-09-20 05:42:00,2021-09-20 06:25:00
1,A63,2021-09-20 05:42:00,2021-09-20 06:25:00
2,A63,2021-09-20 05:42:00,2021-09-20 06:25:00
0,A60,2021-09-20 06:25:00,2021-09-20 10:18:00
1,A60,2021-09-20 06:25:00,2021-09-20 10:18:00
2,A60,2021-09-20 06:25:00,2021-09-20 10:18:00
1,A78,2021-09-20 10:18:00,2021-09-20 10:33:00
2,A78,2021-09-20 10:18:00,2021-09-20 10:33:00
1,A46,2021-09-20 10:33:00,2021-09-21 03:31:00
2,A46,2021-09-20 10:33:00,2021-09-21 03:31:00
1,A57,2021-09-21 03:31:00,2021-09-21 03:37:00
2,A57,2021-09-21 03:31:00,2021-09-21 03:37:00
0,A87,2021-09-20 10:18:00,2021-09-21 06:19:00
0,A46,2021-09-21 06:19:00,2021-09-21 23:17:00
0,A57,2021-09-21 23:17:00,2021-09-21 23:23:00
1,A61,2021-09-21 03:37:00,2021-09-22 00:53:00
2,A61,2021-09-21 03:37:00,2021-09-22 00:53:00
1,A13,2021-09-22 00:53:00,2021-09-22 04:12:00
2,A13,2021-09-22 00:53:00,2021-09-22 04:12:00
0,A61,2021-09-21 23:23:00,2021-09-22 20:39:00
0,A13,2021-09-22 20:39:00,2021-09-22 23:58:00
1,A58,2021-09-22 04:12:00,2021-09-23 00:40:00
2,A58,2021-09-22 04:12:00,2021-09-23 00:40:00
1,A50,2021-09-23 00:40:00,2021-09-23 00:42:00
2,A50,2021-09-23 00:40:00,2021-09-23 00:42:00
1,A51,2021-09-23 00:42:00,2021-09-23 08:37:00
2,A51,2021-09-23 00:42:00,2021-09-23 08:37:00
2,A41,2021-09-23 08:37:00,2021-09-23 18:05:00
1,A28,2021-09-23 08:37:00,2021-09-23 18:51:00
0,A58,2021-09-22 23:58:00,2021-09-23 20:26:00
0,A50,2021-09-23 20:26:00,2021-09-23 20:28:00
2,A21,2021-09-23 18:05:00,2021-09-23 20:38:00
1,A8,2021-09-23 18:51:00,2021-09-23 21:42:00
0,A51,2021-09-23 20:28:00,2021-09-24 04:23:00
0,A33,2021-09-24 04:23:00,2021-09-24 12:40:00
2,A58,2021-09-23 20:38:00,2021-09-24 17:06:00
2,A50,2021-09-24 17:06:00,2021-09-24 17:08:00
1,A58,2021-09-23 21:42:00,2021-09-24 18:10:00
1,A50,2021-09-24 18:10:00,2021-09-24 18:12:00
0,A49,2021-09-24 12:40:00,2021-09-25 00:26:00
2,A51,2021-09-24 17:08:00,2021-09-25 01:03:00
1,A51,2021-09-24 18:12:00,2021-09-25 02:07:00
1,A33,2021-09-25 02:07:00,2021-09-25 10:24:00
0,A47,2021-09-25 00:26:00,2021-09-25 10:56:00
2,A29,2021-09-25 01:03:00,2021-09-25 11:52:00
0,A104,2021-09-25 10:56:00,2021-09-25 17:43:00
1,A49,2021-09-25 10:24:00,2021-09-25 22:10:00
2,A49,2021-09-25 11:52:00,2021-09-25 23:38:00
0,A44,2021-09-25 17:43:00,2021-09-26 08:16:00
1,A47,2021-09-25 22:10:00,2021-09-26 08:40:00
2,A47,2021-09-25 23:38:00,2021-09-26 10:08:00
0,A107,2021-09-26 08:16:00,2021-09-26 16:37:00
2,A112,2021-09-26 10:08:00,2021-09-26 19:27:00
2,A53,2021-09-26 19:27:00,2021-09-26 19:33:00
1,A118,2021-09-26 08:40:00,2021-09-26 20:34:00
2,A45,2021-09-26 19:33:00,2021-09-27 05:30:00
1,A44,2021-09-26 20:34:00,2021-09-27 11:07:00
0,A54,2021-09-26 16:37:00,2021-09-27 13:13:00
0,A48,2021-09-27 13:13:00,2021-09-27 14:01:00
1,A107,2021-09-27 11:07:00,2021-09-27 19:28:00
1,A54,2021-09-27 19:28:00,2021-09-28 16:04:00
1,A48,2021-09-28 16:04:00,2021-09-28 16:52:00
2,A110,2021-09-27 05:30:00,2021-09-29 13:30:00
2,A55,2021-09-29 13:30:00,2021-09-29 21:07:00
2,A114,2021-09-29 21:07:00,2021-09-30 04:02:00
2,A44,2021-09-30 04:02:00,2021-09-30 18:35:00
2,A107,2021-09-30 18:35:00,2021-10-01 02:56:00
2,A54,2021-10-01 02:56:00,2021-10-01 23:32:00
2,A48,2021-10-01 23:32:00,2021-10-02 00:20:00
0,A119,2021-09-27 14:01:00,2021-09-27 15:01:00
0,A56,2021-09-27 15:01:00,2021-09-27 18:01:00
0,A1,2021-09-27 18:01:00,2021-09-28 03:22:00
1,A119,2021-09-28 16:52:00,2021-09-28 17:52:00
1,A56,2021-09-28 17:52:00,2021-09-28 20:52:00
1,A1,2021-09-28 20:52:00,2021-09-29 06:11:00
2,A119,2021-10-02 00:20:00,2021-10-02 01:20:00
2,A56,2021-10-02 01:20:00,2021-10-02 04:20:00
2,A1,2021-10-02 04:20:00,2021-10-02 13:02:00
