case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-07-21 00:00:00,2021-07-22 05:02:00
1,A52,2021-07-21 00:00:00,2021-07-22 05:02:00
0,A43,2021-07-22 05:02:00,2021-07-22 05:42:00
1,A43,2021-07-22 05:02:00,2021-07-22 05:42:00
0,A63,2021-07-22 05:42:00,2021-07-22 06:25:00
1,A63,2021-07-22 05:42:00,2021-07-22 06:25:00
0,A60,2021-07-22 06:25:00,2021-07-22 10:18:00
1,A60,2021-07-22 06:25:00,2021-07-22 10:18:00
0,A65,2021-07-22 10:18:00,2021-07-22 21:47:00
1,A65,2021-07-22 10:18:00,2021-07-22 21:47:00
0,A46,2021-07-22 21:47:00,2021-07-23 14:45:00
1,A46,2021-07-22 21:47:00,2021-07-23 14:45:00
0,A57,2021-07-23 14:45:00,2021-07-23 14:51:00
1,A57,2021-07-23 14:45:00,2021-07-23 14:51:00
0,A61,2021-07-23 14:51:00,2021-07-24 12:07:00
1,A61,2021-07-23 14:51:00,2021-07-24 12:07:00
0,A13,2021-07-24 12:07:00,2021-07-24 15:26:00
1,A13,2021-07-24 12:07:00,2021-07-24 15:26:00
0,A58,2021-07-24 15:26:00,2021-07-25 11:54:00
1,A58,2021-07-24 15:26:00,2021-07-25 11:54:00
0,A50,2021-07-25 11:54:00,2021-07-25 11:56:00
1,A50,2021-07-25 11:54:00,2021-07-25 11:56:00
0,A51,2021-07-25 11:56:00,2021-07-25 19:51:00
1,A51,2021-07-25 11:56:00,2021-07-25 19:51:00
0,A31,2021-07-25 19:51:00,2021-07-26 04:32:00
0,A11,2021-07-26 04:32:00,2021-07-26 07:22:00
1,A32,2021-07-25 19:51:00,2021-07-26 09:23:00
1,A12,2021-07-26 09:23:00,2021-07-26 12:15:00
0,A58,2021-07-26 07:22:00,2021-07-27 03:50:00
0,A50,2021-07-27 03:50:00,2021-07-27 03:52:00
1,A58,2021-07-26 12:15:00,2021-07-27 08:43:00
1,A50,2021-07-27 08:43:00,2021-07-27 08:45:00
0,A51,2021-07-27 03:52:00,2021-07-27 11:47:00
1,A51,2021-07-27 08:45:00,2021-07-27 16:40:00
0,A36,2021-07-27 11:47:00,2021-07-27 22:13:00
0,A16,2021-07-27 22:13:00,2021-07-28 00:58:00
1,A28,2021-07-27 16:40:00,2021-07-28 02:54:00
1,A8,2021-07-28 02:54:00,2021-07-28 05:45:00
0,A58,2021-07-28 00:58:00,2021-07-28 21:26:00
0,A50,2021-07-28 21:26:00,2021-07-28 21:28:00
1,A58,2021-07-28 05:45:00,2021-07-29 02:13:00
1,A50,2021-07-29 02:13:00,2021-07-29 02:15:00
0,A51,2021-07-28 21:28:00,2021-07-29 05:23:00
1,A51,2021-07-29 02:15:00,2021-07-29 10:10:00
0,A41,2021-07-29 05:23:00,2021-07-29 14:51:00
1,A30,2021-07-29 10:10:00,2021-07-29 16:34:00
0,A21,2021-07-29 14:51:00,2021-07-29 17:24:00
1,A10,2021-07-29 16:34:00,2021-07-29 18:35:00
0,A58,2021-07-29 17:24:00,2021-07-30 13:52:00
0,A50,2021-07-30 13:52:00,2021-07-30 13:54:00
1,A58,2021-07-29 18:35:00,2021-07-30 15:03:00
1,A50,2021-07-30 15:03:00,2021-07-30 15:05:00
0,A51,2021-07-30 13:54:00,2021-07-30 21:49:00
1,A51,2021-07-30 15:05:00,2021-07-30 23:00:00
0,A29,2021-07-30 21:49:00,2021-07-31 08:38:00
1,A36,2021-07-30 23:00:00,2021-07-31 09:26:00
1,A16,2021-07-31 09:26:00,2021-07-31 12:11:00
0,A49,2021-07-31 08:38:00,2021-07-31 20:24:00
0,A47,2021-07-31 20:24:00,2021-08-01 06:54:00
1,A58,2021-07-31 12:11:00,2021-08-01 08:39:00
1,A50,2021-08-01 08:39:00,2021-08-01 08:41:00
0,A112,2021-08-01 06:54:00,2021-08-01 16:13:00
0,A53,2021-08-01 16:13:00,2021-08-01 16:19:00
1,A51,2021-08-01 08:41:00,2021-08-01 16:36:00
1,A33,2021-08-01 16:36:00,2021-08-02 00:53:00
0,A45,2021-08-01 16:19:00,2021-08-02 02:16:00
0,A111,2021-08-02 02:16:00,2021-08-02 10:32:00
1,A49,2021-08-02 00:53:00,2021-08-02 12:39:00
1,A47,2021-08-02 12:39:00,2021-08-02 23:09:00
0,A44,2021-08-02 10:32:00,2021-08-03 01:05:00
0,A107,2021-08-03 01:05:00,2021-08-03 09:26:00
1,A106,2021-08-02 23:09:00,2021-08-03 13:34:00
1,A44,2021-08-03 13:34:00,2021-08-04 04:07:00
0,A54,2021-08-03 09:26:00,2021-08-04 06:02:00
0,A48,2021-08-04 06:02:00,2021-08-04 06:50:00
1,A107,2021-08-04 04:07:00,2021-08-04 12:28:00
1,A54,2021-08-04 12:28:00,2021-08-05 09:04:00
1,A48,2021-08-05 09:04:00,2021-08-05 09:52:00
0,A119,2021-08-04 06:50:00,2021-08-04 07:50:00
0,A56,2021-08-04 07:50:00,2021-08-04 10:50:00
0,A1,2021-08-04 10:50:00,2021-08-04 19:48:00
1,A119,2021-08-05 09:52:00,2021-08-05 10:52:00
1,A56,2021-08-05 10:52:00,2021-08-05 13:52:00
1,A1,2021-08-05 13:52:00,2021-08-05 23:07:00
