case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-03-23 00:00:00,2021-03-24 05:02:00
1,A52,2021-03-23 00:00:00,2021-03-24 05:02:00
0,A43,2021-03-24 05:02:00,2021-03-24 05:42:00
1,A43,2021-03-24 05:02:00,2021-03-24 05:42:00
0,A63,2021-03-24 05:42:00,2021-03-24 06:25:00
1,A63,2021-03-24 05:42:00,2021-03-24 06:25:00
0,A60,2021-03-24 06:25:00,2021-03-24 10:18:00
1,A60,2021-03-24 06:25:00,2021-03-24 10:18:00
0,A66,2021-03-24 10:18:00,2021-03-25 03:47:00
1,A71,2021-03-24 10:18:00,2021-03-25 13:03:00
0,A46,2021-03-25 03:47:00,2021-03-25 20:45:00
0,A57,2021-03-25 20:45:00,2021-03-25 20:51:00
1,A46,2021-03-25 13:03:00,2021-03-26 06:01:00
1,A57,2021-03-26 06:01:00,2021-03-26 06:07:00
1,A15,2021-03-26 06:07:00,2021-03-26 07:13:00
0,A61,2021-03-25 20:51:00,2021-03-26 18:07:00
0,A13,2021-03-26 18:07:00,2021-03-26 21:26:00
1,A58,2021-03-26 07:13:00,2021-03-27 03:41:00
1,A50,2021-03-27 03:41:00,2021-03-27 03:43:00
1,A51,2021-03-27 03:43:00,2021-03-27 11:38:00
0,A58,2021-03-26 21:26:00,2021-03-27 17:54:00
0,A50,2021-03-27 17:54:00,2021-03-27 17:56:00
1,A31,2021-03-27 11:38:00,2021-03-27 20:19:00
1,A11,2021-03-27 20:19:00,2021-03-27 23:09:00
0,A51,2021-03-27 17:56:00,2021-03-28 01:51:00
0,A33,2021-03-28 01:51:00,2021-03-28 10:08:00
1,A58,2021-03-27 23:09:00,2021-03-28 19:37:00
1,A50,2021-03-28 19:37:00,2021-03-28 19:39:00
0,A49,2021-03-28 10:08:00,2021-03-28 21:54:00
1,A51,2021-03-28 19:39:00,2021-03-29 03:34:00
0,A47,2021-03-28 21:54:00,2021-03-29 08:24:00
1,A41,2021-03-29 03:34:00,2021-03-29 13:02:00
0,A104,2021-03-29 08:24:00,2021-03-29 15:11:00
1,A21,2021-03-29 13:02:00,2021-03-29 15:35:00
0,A44,2021-03-29 15:11:00,2021-03-30 05:44:00
1,A58,2021-03-29 15:35:00,2021-03-30 12:03:00
1,A50,2021-03-30 12:03:00,2021-03-30 12:05:00
0,A107,2021-03-30 05:44:00,2021-03-30 14:05:00
1,A51,2021-03-30 12:05:00,2021-03-30 20:00:00
1,A23,2021-03-30 20:00:00,2021-03-31 08:30:00
0,A54,2021-03-30 14:05:00,2021-03-31 10:41:00
0,A48,2021-03-31 10:41:00,2021-03-31 11:29:00
1,A49,2021-03-31 08:30:00,2021-03-31 20:16:00
1,A47,2021-03-31 20:16:00,2021-04-01 06:46:00
1,A105,2021-04-01 06:46:00,2021-04-01 21:20:00
1,A55,2021-04-01 21:20:00,2021-04-02 04:57:00
1,A114,2021-04-02 04:57:00,2021-04-02 11:52:00
1,A44,2021-04-02 11:52:00,2021-04-03 02:25:00
1,A107,2021-04-03 02:25:00,2021-04-03 10:46:00
1,A54,2021-04-03 10:46:00,2021-04-04 07:22:00
1,A48,2021-04-04 07:22:00,2021-04-04 08:10:00
0,A119,2021-03-31 11:29:00,2021-03-31 12:29:00
0,A56,2021-03-31 12:29:00,2021-03-31 15:29:00
0,A1,2021-03-31 15:29:00,2021-04-01 00:02:00
1,A119,2021-04-04 08:10:00,2021-04-04 09:10:00
1,A56,2021-04-04 09:10:00,2021-04-04 12:10:00
1,A1,2021-04-04 12:10:00,2021-04-04 21:07:00
