case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-12-25 00:00:00,2021-12-26 05:02:00
1,A52,2021-12-25 00:00:00,2021-12-26 05:02:00
0,A43,2021-12-26 05:02:00,2021-12-26 05:42:00
1,A43,2021-12-26 05:02:00,2021-12-26 05:42:00
0,A63,2021-12-26 05:42:00,2021-12-26 06:25:00
1,A63,2021-12-26 05:42:00,2021-12-26 06:25:00
0,A60,2021-12-26 06:25:00,2021-12-26 10:18:00
1,A60,2021-12-26 06:25:00,2021-12-26 10:18:00
0,A78,2021-12-26 10:18:00,2021-12-26 10:33:00
0,A46,2021-12-26 10:33:00,2021-12-27 03:31:00
0,A57,2021-12-27 03:31:00,2021-12-27 03:37:00
0,A15,2021-12-27 03:37:00,2021-12-27 04:43:00
0,A58,2021-12-27 04:43:00,2021-12-28 01:11:00
0,A50,2021-12-28 01:11:00,2021-12-28 01:13:00
1,A67,2021-12-26 10:18:00,2021-12-28 01:49:00
0,A51,2021-12-28 01:13:00,2021-12-28 09:08:00
1,A46,2021-12-28 01:49:00,2021-12-28 18:47:00
1,A57,2021-12-28 18:47:00,2021-12-28 18:53:00
1,A15,2021-12-28 18:53:00,2021-12-28 19:59:00
0,A32,2021-12-28 09:08:00,2021-12-28 22:40:00
0,A12,2021-12-28 22:40:00,2021-12-29 01:32:00
1,A58,2021-12-28 19:59:00,2021-12-29 16:27:00
1,A50,2021-12-29 16:27:00,2021-12-29 16:29:00
0,A58,2021-12-29 01:32:00,2021-12-29 22:00:00
0,A50,2021-12-29 22:00:00,2021-12-29 22:02:00
1,A51,2021-12-29 16:29:00,2021-12-30 00:24:00
0,A51,2021-12-29 22:02:00,2021-12-30 05:57:00
1,A35,2021-12-30 00:24:00,2021-12-30 07:14:00
0,A36,2021-12-30 05:57:00,2021-12-30 16:23:00
1,A49,2021-12-30 07:14:00,2021-12-30 19:00:00
0,A16,2021-12-30 16:23:00,2021-12-30 19:08:00
1,A47,2021-12-30 19:00:00,2021-12-31 05:30:00
1,A112,2021-12-31 05:30:00,2021-12-31 14:49:00
1,A53,2021-12-31 14:49:00,2021-12-31 14:55:00
0,A58,2021-12-30 19:08:00,2021-12-31 15:36:00
0,A50,2021-12-31 15:36:00,2021-12-31 15:38:00
0,A51,2021-12-31 15:38:00,2021-12-31 23:33:00
1,A45,2021-12-31 14:55:00,2022-01-01 00:52:00
1,A111,2022-01-01 00:52:00,2022-01-01 09:08:00
0,A29,2021-12-31 23:33:00,2022-01-01 10:22:00
0,A49,2022-01-01 10:22:00,2022-01-01 22:08:00
1,A44,2022-01-01 09:08:00,2022-01-01 23:41:00
1,A107,2022-01-01 23:41:00,2022-01-02 08:02:00
0,A47,2022-01-01 22:08:00,2022-01-02 08:38:00
0,A117,2022-01-02 08:38:00,2022-01-02 19:24:00
0,A55,2022-01-02 19:24:00,2022-01-03 03:01:00
1,A54,2022-01-02 08:02:00,2022-01-03 04:38:00
1,A48,2022-01-03 04:38:00,2022-01-03 05:26:00
0,A103,2022-01-03 03:01:00,2022-01-03 08:34:00
0,A54,2022-01-03 08:34:00,2022-01-04 05:10:00
0,A48,2022-01-04 05:10:00,2022-01-04 05:58:00
