case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-02-27 00:00:00,2021-02-28 05:02:00
1,A52,2021-02-27 00:00:00,2021-02-28 05:02:00
0,A43,2021-02-28 05:02:00,2021-02-28 05:42:00
1,A43,2021-02-28 05:02:00,2021-02-28 05:42:00
0,A63,2021-02-28 05:42:00,2021-02-28 06:25:00
1,A63,2021-02-28 05:42:00,2021-02-28 06:25:00
0,A60,2021-02-28 06:25:00,2021-02-28 10:18:00
1,A60,2021-02-28 06:25:00,2021-02-28 10:18:00
1,A78,2021-02-28 10:18:00,2021-02-28 10:33:00
0,A65,2021-02-28 10:18:00,2021-02-28 21:47:00
1,A46,2021-02-28 10:33:00,2021-03-01 03:31:00
0,A46,2021-02-28 21:47:00,2021-03-01 14:45:00
1,A57,2021-03-01 03:31:00,2021-03-03 10:16:00
1,A15,2021-03-03 10:16:00,2021-03-03 11:22:00
0,A57,2021-03-01 14:45:00,2021-03-03 21:30:00
1,A58,2021-03-03 11:22:00,2021-03-04 07:50:00
1,A50,2021-03-04 07:50:00,2021-03-04 07:52:00
1,A51,2021-03-04 07:52:00,2021-03-04 15:47:00
0,A61,2021-03-03 21:30:00,2021-03-04 18:46:00
0,A13,2021-03-04 18:46:00,2021-03-04 22:05:00
1,A29,2021-03-04 15:47:00,2021-03-05 02:36:00
1,A49,2021-03-05 02:36:00,2021-03-05 14:22:00
0,A58,2021-03-04 22:05:00,2021-03-05 18:33:00
0,A50,2021-03-05 18:33:00,2021-03-05 18:35:00
1,A47,2021-03-05 14:22:00,2021-03-06 00:52:00
0,A51,2021-03-05 18:35:00,2021-03-06 02:30:00
1,A112,2021-03-06 00:52:00,2021-03-06 10:11:00
1,A53,2021-03-06 10:11:00,2021-03-06 10:17:00
0,A33,2021-03-06 02:30:00,2021-03-06 10:47:00
1,A45,2021-03-06 10:17:00,2021-03-06 20:14:00
0,A49,2021-03-06 10:47:00,2021-03-06 22:33:00
0,A109,2021-03-06 22:33:00,2021-03-07 04:23:00
0,A53,2021-03-07 04:23:00,2021-03-07 04:29:00
0,A45,2021-03-07 04:29:00,2021-03-07 14:26:00
0,A111,2021-03-07 14:26:00,2021-03-07 22:42:00
1,A101,2021-03-06 20:14:00,2021-03-08 03:07:00
1,A55,2021-03-08 03:07:00,2021-03-08 10:44:00
0,A44,2021-03-07 22:42:00,2021-03-08 13:15:00
1,A114,2021-03-08 10:44:00,2021-03-08 17:39:00
0,A107,2021-03-08 13:15:00,2021-03-08 21:36:00
1,A44,2021-03-08 17:39:00,2021-03-09 08:12:00
1,A107,2021-03-09 08:12:00,2021-03-09 16:33:00
0,A54,2021-03-08 21:36:00,2021-03-09 18:12:00
0,A48,2021-03-09 18:12:00,2021-03-09 19:00:00
1,A54,2021-03-09 16:33:00,2021-03-10 13:09:00
1,A48,2021-03-10 13:09:00,2021-03-10 13:57:00
0,A119,2021-03-09 19:00:00,2021-03-09 20:00:00
0,A56,2021-03-09 20:00:00,2021-03-09 23:00:00
0,A1,2021-03-09 23:00:00,2021-03-10 07:30:00
1,A119,2021-03-10 13:57:00,2021-03-10 14:57:00
1,A56,2021-03-10 14:57:00,2021-03-10 17:57:00
1,A1,2021-03-10 17:57:00,2021-03-11 02:51:00
