case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-12-03 00:00:00,2021-12-04 05:02:00
1,A52,2021-12-03 00:00:00,2021-12-04 05:02:00
0,A43,2021-12-04 05:02:00,2021-12-04 05:42:00
1,A43,2021-12-04 05:02:00,2021-12-04 05:42:00
0,A63,2021-12-04 05:42:00,2021-12-04 06:25:00
1,A63,2021-12-04 05:42:00,2021-12-04 06:25:00
0,A60,2021-12-04 06:25:00,2021-12-04 10:18:00
1,A60,2021-12-04 06:25:00,2021-12-04 10:18:00
1,A78,2021-12-04 10:18:00,2021-12-04 10:33:00
1,A46,2021-12-04 10:33:00,2021-12-05 03:31:00
0,A71,2021-12-04 10:18:00,2021-12-05 13:03:00
0,A46,2021-12-05 13:03:00,2021-12-06 06:01:00
1,A57,2021-12-05 03:31:00,2021-12-07 10:16:00
1,A61,2021-12-07 10:16:00,2021-12-08 07:32:00
1,A13,2021-12-08 07:32:00,2021-12-08 10:51:00
0,A57,2021-12-06 06:01:00,2021-12-08 12:46:00
1,A58,2021-12-08 10:51:00,2021-12-09 07:19:00
1,A50,2021-12-09 07:19:00,2021-12-09 07:21:00
0,A61,2021-12-08 12:46:00,2021-12-09 10:02:00
0,A13,2021-12-09 10:02:00,2021-12-09 13:21:00
1,A51,2021-12-09 07:21:00,2021-12-09 15:16:00
1,A28,2021-12-09 15:16:00,2021-12-10 01:30:00
1,A8,2021-12-10 01:30:00,2021-12-10 04:21:00
0,A58,2021-12-09 13:21:00,2021-12-10 09:49:00
0,A50,2021-12-10 09:49:00,2021-12-10 09:51:00
0,A51,2021-12-10 09:51:00,2021-12-10 17:46:00
1,A58,2021-12-10 04:21:00,2021-12-11 00:49:00
1,A50,2021-12-11 00:49:00,2021-12-11 00:51:00
0,A41,2021-12-10 17:46:00,2021-12-11 03:14:00
0,A21,2021-12-11 03:14:00,2021-12-11 05:47:00
1,A51,2021-12-11 00:51:00,2021-12-11 08:46:00
1,A28,2021-12-11 08:46:00,2021-12-11 19:00:00
1,A8,2021-12-11 19:00:00,2021-12-11 21:51:00
0,A58,2021-12-11 05:47:00,2021-12-12 02:15:00
0,A50,2021-12-12 02:15:00,2021-12-12 02:17:00
0,A51,2021-12-12 02:17:00,2021-12-12 10:12:00
0,A27,2021-12-12 10:12:00,2021-12-12 16:28:00
1,A58,2021-12-11 21:51:00,2021-12-12 18:19:00
1,A50,2021-12-12 18:19:00,2021-12-12 18:21:00
0,A7,2021-12-12 16:28:00,2021-12-12 20:46:00
1,A51,2021-12-12 18:21:00,2021-12-13 02:16:00
1,A36,2021-12-13 02:16:00,2021-12-13 12:42:00
1,A16,2021-12-13 12:42:00,2021-12-13 15:27:00
0,A58,2021-12-12 20:46:00,2021-12-13 17:14:00
0,A50,2021-12-13 17:14:00,2021-12-13 17:16:00
0,A51,2021-12-13 17:16:00,2021-12-14 01:11:00
1,A58,2021-12-13 15:27:00,2021-12-14 11:55:00
1,A50,2021-12-14 11:55:00,2021-12-14 11:57:00
0,A29,2021-12-14 01:11:00,2021-12-14 12:00:00
1,A51,2021-12-14 11:57:00,2021-12-14 19:52:00
0,A49,2021-12-14 12:00:00,2021-12-14 23:46:00
1,A42,2021-12-14 19:52:00,2021-12-15 06:52:00
0,A47,2021-12-14 23:46:00,2021-12-15 10:16:00
1,A49,2021-12-15 06:52:00,2021-12-15 18:38:00
0,A112,2021-12-15 10:16:00,2021-12-15 19:35:00
0,A53,2021-12-15 19:35:00,2021-12-15 19:41:00
1,A47,2021-12-15 18:38:00,2021-12-16 05:08:00
0,A45,2021-12-15 19:41:00,2021-12-16 05:38:00
0,A111,2021-12-16 05:38:00,2021-12-16 13:54:00
1,A118,2021-12-16 05:08:00,2021-12-16 17:02:00
0,A44,2021-12-16 13:54:00,2021-12-17 04:27:00
0,A116,2021-12-17 04:27:00,2021-12-17 06:43:00
1,A44,2021-12-16 17:02:00,2021-12-17 07:35:00
1,A102,2021-12-17 07:35:00,2021-12-17 08:07:00
0,A54,2021-12-17 06:43:00,2021-12-18 03:19:00
0,A48,2021-12-18 03:19:00,2021-12-18 04:07:00
1,A119,2021-12-17 08:07:00,2021-12-17 09:07:00
1,A56,2021-12-17 09:07:00,2021-12-17 12:07:00
1,A1,2021-12-17 12:07:00,2021-12-17 21:17:00
