case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-11-05 00:00:00,2021-11-06 05:02:00
1,A52,2021-11-05 00:00:00,2021-11-06 05:02:00
2,A52,2021-11-05 00:00:00,2021-11-06 05:02:00
0,A43,2021-11-06 05:02:00,2021-11-06 05:42:00
1,A43,2021-11-06 05:02:00,2021-11-06 05:42:00
2,A43,2021-11-06 05:02:00,2021-11-06 05:42:00
0,A63,2021-11-06 05:42:00,2021-11-06 06:25:00
1,A63,2021-11-06 05:42:00,2021-11-06 06:25:00
2,A63,2021-11-06 05:42:00,2021-11-06 06:25:00
0,A60,2021-11-06 06:25:00,2021-11-06 10:18:00
1,A60,2021-11-06 06:25:00,2021-11-06 10:18:00
2,A60,2021-11-06 06:25:00,2021-11-06 10:18:00
0,A79,2021-11-06 10:18:00,2021-11-06 13:46:00
2,A65,2021-11-06 10:18:00,2021-11-06 21:47:00
0,A46,2021-11-06 13:46:00,2021-11-07 06:44:00
2,A46,2021-11-06 21:47:00,2021-11-07 14:45:00
1,A67,2021-11-06 10:18:00,2021-11-08 01:49:00
1,A46,2021-11-08 01:49:00,2021-11-08 18:47:00
0,A57,2021-11-07 06:44:00,2021-11-09 13:29:00
2,A57,2021-11-07 14:45:00,2021-11-09 21:30:00
2,A15,2021-11-09 21:30:00,2021-11-09 22:36:00
0,A61,2021-11-09 13:29:00,2021-11-10 10:45:00
0,A13,2021-11-10 10:45:00,2021-11-10 14:04:00
2,A58,2021-11-09 22:36:00,2021-11-10 19:04:00
2,A50,2021-11-10 19:04:00,2021-11-10 19:06:00
1,A57,2021-11-08 18:47:00,2021-11-11 01:32:00
2,A51,2021-11-10 19:06:00,2021-11-11 03:01:00
1,A18,2021-11-11 01:32:00,2021-11-11 05:19:00
0,A58,2021-11-10 14:04:00,2021-11-11 10:32:00
0,A50,2021-11-11 10:32:00,2021-11-11 10:34:00
2,A33,2021-11-11 03:01:00,2021-11-11 11:18:00
0,A51,2021-11-11 10:34:00,2021-11-11 18:29:00
2,A49,2021-11-11 11:18:00,2021-11-11 23:04:00
1,A58,2021-11-11 05:19:00,2021-11-12 01:47:00
1,A50,2021-11-12 01:47:00,2021-11-12 01:49:00
0,A33,2021-11-11 18:29:00,2021-11-12 02:46:00
2,A47,2021-11-11 23:04:00,2021-11-12 09:34:00
1,A51,2021-11-12 01:49:00,2021-11-12 09:44:00
0,A49,2021-11-12 02:46:00,2021-11-12 14:32:00
1,A36,2021-11-12 09:44:00,2021-11-12 20:10:00
0,A109,2021-11-12 14:32:00,2021-11-12 20:22:00
0,A53,2021-11-12 20:22:00,2021-11-12 20:28:00
2,A118,2021-11-12 09:34:00,2021-11-12 21:28:00
1,A16,2021-11-12 20:10:00,2021-11-12 22:55:00
0,A45,2021-11-12 20:28:00,2021-11-13 06:25:00
2,A44,2021-11-12 21:28:00,2021-11-13 12:01:00
1,A58,2021-11-12 22:55:00,2021-11-13 19:23:00
1,A50,2021-11-13 19:23:00,2021-11-13 19:25:00
2,A107,2021-11-13 12:01:00,2021-11-13 20:22:00
1,A51,2021-11-13 19:25:00,2021-11-14 03:20:00
0,A101,2021-11-13 06:25:00,2021-11-14 13:18:00
1,A36,2021-11-14 03:20:00,2021-11-14 13:46:00
1,A16,2021-11-14 13:46:00,2021-11-14 16:31:00
2,A54,2021-11-13 20:22:00,2021-11-14 16:58:00
2,A48,2021-11-14 16:58:00,2021-11-14 17:46:00
0,A55,2021-11-14 13:18:00,2021-11-14 20:55:00
0,A103,2021-11-14 20:55:00,2021-11-15 02:28:00
1,A58,2021-11-14 16:31:00,2021-11-15 12:59:00
1,A50,2021-11-15 12:59:00,2021-11-15 13:01:00
1,A51,2021-11-15 13:01:00,2021-11-15 20:56:00
0,A54,2021-11-15 02:28:00,2021-11-15 23:04:00
0,A48,2021-11-15 23:04:00,2021-11-15 23:52:00
1,A32,2021-11-15 20:56:00,2021-11-16 10:28:00
1,A12,2021-11-16 10:28:00,2021-11-16 13:20:00
1,A58,2021-11-16 13:20:00,2021-11-17 09:48:00
1,A50,2021-11-17 09:48:00,2021-11-17 09:50:00
1,A51,2021-11-17 09:50:00,2021-11-17 17:45:00
1,A33,2021-11-17 17:45:00,2021-11-18 02:02:00
1,A49,2021-11-18 02:02:00,2021-11-18 13:48:00
1,A47,2021-11-18 13:48:00,2021-11-19 00:18:00
1,A117,2021-11-19 00:18:00,2021-11-19 11:04:00
1,A55,2021-11-19 11:04:00,2021-11-19 18:41:00
1,A103,2021-11-19 18:41:00,2021-11-20 00:14:00
1,A54,2021-11-20 00:14:00,2021-11-20 20:50:00
1,A48,2021-11-20 20:50:00,2021-11-20 21:38:00
0,A119,2021-11-15 23:52:00,2021-11-16 00:52:00
0,A56,2021-11-16 00:52:00,2021-11-16 03:52:00
0,A1,2021-11-16 03:52:00,2021-11-16 13:15:00
1,A119,2021-11-20 21:38:00,2021-11-20 22:38:00
1,A56,2021-11-20 22:38:00,2021-11-21 01:38:00
1,A1,2021-11-21 01:38:00,2021-11-21 11:05:00
