case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-10-09 00:00:00,2021-10-10 05:02:00
1,A52,2021-10-09 00:00:00,2021-10-10 05:02:00
0,A43,2021-10-10 05:02:00,2021-10-10 05:42:00
1,A43,2021-10-10 05:02:00,2021-10-10 05:42:00
0,A63,2021-10-10 05:42:00,2021-10-10 06:25:00
1,A63,2021-10-10 05:42:00,2021-10-10 06:25:00
0,A60,2021-10-10 06:25:00,2021-10-10 10:18:00
1,A60,2021-10-10 06:25:00,2021-10-10 10:18:00
0,A78,2021-10-10 10:18:00,2021-10-10 10:33:00
0,A46,2021-10-10 10:33:00,2021-10-11 03:31:00
1,A67,2021-10-10 10:18:00,2021-10-12 01:49:00
1,A46,2021-10-12 01:49:00,2021-10-12 18:47:00
0,A57,2021-10-11 03:31:00,2021-10-13 10:16:00
0,A61,2021-10-13 10:16:00,2021-10-14 07:32:00
0,A13,2021-10-14 07:32:00,2021-10-14 10:51:00
1,A57,2021-10-12 18:47:00,2021-10-15 01:32:00
0,A58,2021-10-14 10:51:00,2021-10-15 07:19:00
0,A50,2021-10-15 07:19:00,2021-10-15 07:21:00
0,A51,2021-10-15 07:21:00,2021-10-15 15:16:00
1,A61,2021-10-15 01:32:00,2021-10-15 22:48:00
0,A33,2021-10-15 15:16:00,2021-10-15 23:33:00
1,A20,2021-10-15 22:48:00,2021-10-16 02:48:00
0,A49,2021-10-15 23:33:00,2021-10-16 11:19:00
0,A47,2021-10-16 11:19:00,2021-10-16 21:49:00
1,A58,2021-10-16 02:48:00,2021-10-16 23:16:00
1,A50,2021-10-16 23:16:00,2021-10-16 23:18:00
1,A51,2021-10-16 23:18:00,2021-10-17 07:13:00
0,A117,2021-10-16 21:49:00,2021-10-17 08:35:00
0,A55,2021-10-17 08:35:00,2021-10-17 16:12:00
1,A24,2021-10-17 07:13:00,2021-10-17 21:46:00
0,A114,2021-10-17 16:12:00,2021-10-17 23:07:00
1,A49,2021-10-17 21:46:00,2021-10-18 09:32:00
0,A44,2021-10-17 23:07:00,2021-10-18 13:40:00
0,A102,2021-10-18 13:40:00,2021-10-18 14:12:00
1,A47,2021-10-18 09:32:00,2021-10-18 20:02:00
1,A104,2021-10-18 20:02:00,2021-10-19 02:49:00
1,A44,2021-10-19 02:49:00,2021-10-19 17:22:00
1,A102,2021-10-19 17:22:00,2021-10-19 17:54:00
0,A119,2021-10-18 14:12:00,2021-10-18 15:12:00
0,A56,2021-10-18 15:12:00,2021-10-18 18:12:00
0,A1,2021-10-18 18:12:00,2021-10-19 03:03:00
1,A119,2021-10-19 17:54:00,2021-10-19 18:54:00
1,A56,2021-10-19 18:54:00,2021-10-19 21:54:00
1,A1,2021-10-19 21:54:00,2021-10-20 06:37:00
