case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-03-14 00:00:00,2021-03-15 05:02:00
1,A52,2021-03-14 00:00:00,2021-03-15 05:02:00
2,A52,2021-03-14 00:00:00,2021-03-15 05:02:00
3,A52,2021-03-14 00:00:00,2021-03-15 05:02:00
0,A43,2021-03-15 05:02:00,2021-03-15 05:42:00
1,A43,2021-03-15 05:02:00,2021-03-15 05:42:00
2,A43,2021-03-15 05:02:00,2021-03-15 05:42:00
3,A43,2021-03-15 05:02:00,2021-03-15 05:42:00
0,A63,2021-03-15 05:42:00,2021-03-15 06:25:00
1,A63,2021-03-15 05:42:00,2021-03-15 06:25:00
2,A63,2021-03-15 05:42:00,2021-03-15 06:25:00
3,A63,2021-03-15 05:42:00,2021-03-15 06:25:00
0,A60,2021-03-15 06:25:00,2021-03-15 10:18:00
1,A60,2021-03-15 06:25:00,2021-03-15 10:18:00
2,A60,2021-03-15 06:25:00,2021-03-15 10:18:00
3,A60,2021-03-15 06:25:00,2021-03-15 10:18:00
2,A92,2021-03-15 10:18:00,2021-03-15 10:20:00
0,A82,2021-03-15 10:18:00,2021-03-15 15:47:00
0,A46,2021-03-15 15:47:00,2021-03-16 08:45:00
3,A71,2021-03-15 10:18:00,2021-03-16 13:03:00
2,A98,2021-03-15 10:20:00,2021-03-16 13:20:00
2,A17,2021-03-16 13:20:00,2021-03-16 15:17:00
3,A46,2021-03-16 13:03:00,2021-03-17 06:01:00
1,A95,2021-03-15 10:18:00,2021-03-17 08:52:00
2,A58,2021-03-16 15:17:00,2021-03-17 11:45:00
2,A50,2021-03-17 11:45:00,2021-03-17 11:47:00
2,A51,2021-03-17 11:47:00,2021-03-17 19:42:00
1,A46,2021-03-17 08:52:00,2021-03-18 01:50:00
2,A33,2021-03-17 19:42:00,2021-03-18 03:59:00
0,A57,2021-03-16 08:45:00,2021-03-18 15:30:00
2,A49,2021-03-18 03:59:00,2021-03-18 15:45:00
2,A109,2021-03-18 15:45:00,2021-03-18 21:35:00
2,A53,2021-03-18 21:35:00,2021-03-18 21:41:00
2,A45,2021-03-18 21:41:00,2021-03-19 07:38:00
3,A57,2021-03-17 06:01:00,2021-03-19 12:46:00
0,A61,2021-03-18 15:30:00,2021-03-19 12:46:00
2,A111,2021-03-19 07:38:00,2021-03-19 15:54:00
0,A13,2021-03-19 12:46:00,2021-03-19 16:05:00
2,A44,2021-03-19 15:54:00,2021-03-20 06:27:00
1,A57,2021-03-18 01:50:00,2021-03-20 08:35:00
1,A15,2021-03-20 08:35:00,2021-03-20 09:41:00
3,A61,2021-03-19 12:46:00,2021-03-20 10:02:00
0,A58,2021-03-19 16:05:00,2021-03-20 12:33:00
0,A50,2021-03-20 12:33:00,2021-03-20 12:35:00
3,A13,2021-03-20 10:02:00,2021-03-20 13:21:00
2,A107,2021-03-20 06:27:00,2021-03-20 14:48:00
0,A51,2021-03-20 12:35:00,2021-03-20 20:30:00
1,A58,2021-03-20 09:41:00,2021-03-21 06:09:00
1,A50,2021-03-21 06:09:00,2021-03-21 06:11:00
0,A29,2021-03-20 20:30:00,2021-03-21 07:19:00
3,A58,2021-03-20 13:21:00,2021-03-21 09:49:00
3,A50,2021-03-21 09:49:00,2021-03-21 09:51:00
2,A54,2021-03-20 14:48:00,2021-03-21 11:24:00
2,A48,2021-03-21 11:24:00,2021-03-21 12:12:00
1,A51,2021-03-21 06:11:00,2021-03-21 14:06:00
3,A51,2021-03-21 09:51:00,2021-03-21 17:46:00
0,A49,2021-03-21 07:19:00,2021-03-21 19:05:00
1,A31,2021-03-21 14:06:00,2021-03-21 22:47:00
1,A11,2021-03-21 22:47:00,2021-03-22 01:37:00
3,A33,2021-03-21 17:46:00,2021-03-22 02:03:00
0,A47,2021-03-21 19:05:00,2021-03-22 05:35:00
3,A49,2021-03-22 02:03:00,2021-03-22 13:49:00
0,A112,2021-03-22 05:35:00,2021-03-22 14:54:00
0,A53,2021-03-22 14:54:00,2021-03-22 15:00:00
3,A109,2021-03-22 13:49:00,2021-03-22 19:39:00
3,A53,2021-03-22 19:39:00,2021-03-22 19:45:00
1,A58,2021-03-22 01:37:00,2021-03-22 22:05:00
1,A50,2021-03-22 22:05:00,2021-03-22 22:07:00
0,A45,2021-03-22 15:00:00,2021-03-23 00:57:00
3,A45,2021-03-22 19:45:00,2021-03-23 05:42:00
1,A51,2021-03-22 22:07:00,2021-03-23 06:02:00
