case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-09-18 00:00:00,2021-09-19 05:02:00
1,A52,2021-09-18 00:00:00,2021-09-19 05:02:00
0,A43,2021-09-19 05:02:00,2021-09-19 05:42:00
1,A43,2021-09-19 05:02:00,2021-09-19 05:42:00
0,A63,2021-09-19 05:42:00,2021-09-19 06:25:00
1,A63,2021-09-19 05:42:00,2021-09-19 06:25:00
0,A60,2021-09-19 06:25:00,2021-09-19 10:18:00
1,A60,2021-09-19 06:25:00,2021-09-19 10:18:00
0,A71,2021-09-19 10:18:00,2021-09-20 13:03:00
0,A46,2021-09-20 13:03:00,2021-09-21 06:01:00
1,A85,2021-09-19 10:18:00,2021-09-21 09:27:00
1,A62,2021-09-21 09:27:00,2021-09-23 09:18:00
1,A4,2021-09-23 09:18:00,2021-09-23 12:05:00
0,A57,2021-09-21 06:01:00,2021-09-23 12:46:00
0,A15,2021-09-23 12:46:00,2021-09-23 13:52:00
1,A58,2021-09-23 12:05:00,2021-09-24 08:33:00
1,A50,2021-09-24 08:33:00,2021-09-24 08:35:00
0,A58,2021-09-23 13:52:00,2021-09-24 10:20:00
0,A50,2021-09-24 10:20:00,2021-09-24 10:22:00
1,A51,2021-09-24 08:35:00,2021-09-24 16:30:00
0,A51,2021-09-24 10:22:00,2021-09-24 18:17:00
1,A29,2021-09-24 16:30:00,2021-09-25 03:19:00
0,A29,2021-09-24 18:17:00,2021-09-25 05:06:00
1,A49,2021-09-25 03:19:00,2021-09-25 15:05:00
0,A49,2021-09-25 05:06:00,2021-09-25 16:52:00
1,A47,2021-09-25 15:05:00,2021-09-26 01:35:00
0,A47,2021-09-25 16:52:00,2021-09-26 03:22:00
1,A105,2021-09-26 01:35:00,2021-09-26 16:09:00
0,A105,2021-09-26 03:22:00,2021-09-26 17:56:00
1,A55,2021-09-26 16:09:00,2021-09-26 23:46:00
0,A55,2021-09-26 17:56:00,2021-09-27 01:33:00
1,A103,2021-09-26 23:46:00,2021-09-27 05:19:00
0,A103,2021-09-27 01:33:00,2021-09-27 07:06:00
1,A54,2021-09-27 05:19:00,2021-09-28 01:55:00
1,A48,2021-09-28 01:55:00,2021-09-28 02:43:00
0,A54,2021-09-27 07:06:00,2021-09-28 03:42:00
0,A48,2021-09-28 03:42:00,2021-09-28 04:30:00
1,A119,2021-09-28 02:43:00,2021-09-28 03:43:00
1,A56,2021-09-28 03:43:00,2021-09-28 06:43:00
1,A1,2021-09-28 06:43:00,2021-09-28 16:13:00
