case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-07-20 00:00:00,2021-07-21 05:02:00
1,A52,2021-07-20 00:00:00,2021-07-21 05:02:00
2,A52,2021-07-20 00:00:00,2021-07-21 05:02:00
3,A52,2021-07-20 00:00:00,2021-07-21 05:02:00
0,A43,2021-07-21 05:02:00,2021-07-21 05:42:00
1,A43,2021-07-21 05:02:00,2021-07-21 05:42:00
2,A43,2021-07-21 05:02:00,2021-07-21 05:42:00
3,A43,2021-07-21 05:02:00,2021-07-21 05:42:00
0,A63,2021-07-21 05:42:00,2021-07-21 06:25:00
1,A63,2021-07-21 05:42:00,2021-07-21 06:25:00
2,A63,2021-07-21 05:42:00,2021-07-21 06:25:00
3,A63,2021-07-21 05:42:00,2021-07-21 06:25:00
0,A60,2021-07-21 06:25:00,2021-07-21 10:18:00
1,A60,2021-07-21 06:25:00,2021-07-21 10:18:00
2,A60,2021-07-21 06:25:00,2021-07-21 10:18:00
3,A60,2021-07-21 06:25:00,2021-07-21 10:18:00
1,A78,2021-07-21 10:18:00,2021-07-21 10:33:00
2,A65,2021-07-21 10:18:00,2021-07-21 21:47:00
1,A46,2021-07-21 10:33:00,2021-07-22 03:31:00
2,A46,2021-07-21 21:47:00,2021-07-22 14:45:00
0,A67,2021-07-21 10:18:00,2021-07-23 01:49:00
3,A67,2021-07-21 10:18:00,2021-07-23 01:49:00
0,A46,2021-07-23 01:49:00,2021-07-23 18:47:00
3,A46,2021-07-23 01:49:00,2021-07-23 18:47:00
1,A57,2021-07-22 03:31:00,2021-07-24 10:16:00
2,A57,2021-07-22 14:45:00,2021-07-24 21:30:00
1,A61,2021-07-24 10:16:00,2021-07-25 07:32:00
1,A13,2021-07-25 07:32:00,2021-07-25 10:51:00
2,A61,2021-07-24 21:30:00,2021-07-25 18:46:00
2,A13,2021-07-25 18:46:00,2021-07-25 22:05:00
0,A57,2021-07-23 18:47:00,2021-07-26 01:32:00
3,A57,2021-07-23 18:47:00,2021-07-26 01:32:00
1,A58,2021-07-25 10:51:00,2021-07-26 07:19:00
1,A50,2021-07-26 07:19:00,2021-07-26 07:21:00
1,A51,2021-07-26 07:21:00,2021-07-26 15:16:00
2,A58,2021-07-25 22:05:00,2021-07-26 18:33:00
2,A50,2021-07-26 18:33:00,2021-07-26 18:35:00
0,A61,2021-07-26 01:32:00,2021-07-26 22:48:00
3,A61,2021-07-26 01:32:00,2021-07-26 22:48:00
1,A31,2021-07-26 15:16:00,2021-07-26 23:57:00
0,A13,2021-07-26 22:48:00,2021-07-27 02:07:00
3,A13,2021-07-26 22:48:00,2021-07-27 02:07:00
2,A51,2021-07-26 18:35:00,2021-07-27 02:30:00
1,A11,2021-07-26 23:57:00,2021-07-27 02:47:00
2,A33,2021-07-27 02:30:00,2021-07-27 10:47:00
2,A49,2021-07-27 10:47:00,2021-07-27 22:33:00
0,A58,2021-07-27 02:07:00,2021-07-27 22:35:00
3,A58,2021-07-27 02:07:00,2021-07-27 22:35:00
0,A50,2021-07-27 22:35:00,2021-07-27 22:37:00
3,A50,2021-07-27 22:35:00,2021-07-27 22:37:00
1,A58,2021-07-27 02:47:00,2021-07-27 23:15:00
1,A50,2021-07-27 23:15:00,2021-07-27 23:17:00
2,A109,2021-07-27 22:33:00,2021-07-28 04:23:00
2,A53,2021-07-28 04:23:00,2021-07-28 04:29:00
0,A51,2021-07-27 22:37:00,2021-07-28 06:32:00
3,A51,2021-07-27 22:37:00,2021-07-28 06:32:00
1,A51,2021-07-27 23:17:00,2021-07-28 07:12:00
2,A45,2021-07-28 04:29:00,2021-07-28 14:26:00
3,A29,2021-07-28 06:32:00,2021-07-28 17:21:00
0,A32,2021-07-28 06:32:00,2021-07-28 20:04:00
1,A38,2021-07-28 07:12:00,2021-07-28 21:58:00
2,A111,2021-07-28 14:26:00,2021-07-28 22:42:00
0,A12,2021-07-28 20:04:00,2021-07-28 22:56:00
3,A49,2021-07-28 17:21:00,2021-07-29 05:07:00
1,A49,2021-07-28 21:58:00,2021-07-29 09:44:00
2,A44,2021-07-28 22:42:00,2021-07-29 13:15:00
2,A102,2021-07-29 13:15:00,2021-07-29 13:47:00
3,A47,2021-07-29 05:07:00,2021-07-29 15:37:00
0,A58,2021-07-28 22:56:00,2021-07-29 19:24:00
0,A50,2021-07-29 19:24:00,2021-07-29 19:26:00
1,A47,2021-07-29 09:44:00,2021-07-29 20:14:00
3,A112,2021-07-29 15:37:00,2021-07-30 00:56:00
3,A53,2021-07-30 00:56:00,2021-07-30 01:02:00
1,A104,2021-07-29 20:14:00,2021-07-30 03:01:00
0,A51,2021-07-29 19:26:00,2021-07-30 03:21:00
3,A45,2021-07-30 01:02:00,2021-07-30 10:59:00
0,A23,2021-07-30 03:21:00,2021-07-30 15:51:00
1,A44,2021-07-30 03:01:00,2021-07-30 17:34:00
3,A111,2021-07-30 10:59:00,2021-07-30 19:15:00
1,A107,2021-07-30 17:34:00,2021-07-31 01:55:00
0,A49,2021-07-30 15:51:00,2021-07-31 03:37:00
0,A109,2021-07-31 03:37:00,2021-07-31 09:27:00
0,A53,2021-07-31 09:27:00,2021-07-31 09:33:00
3,A44,2021-07-30 19:15:00,2021-07-31 09:48:00
3,A102,2021-07-31 09:48:00,2021-07-31 10:20:00
0,A45,2021-07-31 09:33:00,2021-07-31 19:30:00
1,A54,2021-07-31 01:55:00,2021-07-31 22:31:00
1,A48,2021-07-31 22:31:00,2021-07-31 23:19:00
0,A101,2021-07-31 19:30:00,2021-08-02 02:23:00
0,A55,2021-08-02 02:23:00,2021-08-02 10:00:00
0,A114,2021-08-02 10:00:00,2021-08-02 16:55:00
0,A44,2021-08-02 16:55:00,2021-08-03 07:28:00
0,A102,2021-08-03 07:28:00,2021-08-03 08:00:00
2,A119,2021-07-29 13:47:00,2021-07-29 14:47:00
2,A56,2021-07-29 14:47:00,2021-07-29 17:47:00
2,A1,2021-07-29 17:47:00,2021-07-30 02:49:00
3,A119,2021-07-31 10:20:00,2021-07-31 11:20:00
3,A56,2021-07-31 11:20:00,2021-07-31 14:20:00
3,A1,2021-07-31 14:20:00,2021-07-31 23:23:00
0,A119,2021-08-03 08:00:00,2021-08-03 09:00:00
0,A56,2021-08-03 09:00:00,2021-08-03 12:00:00
0,A1,2021-08-03 12:00:00,2021-08-03 21:26:00
