case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-01-26 00:00:00,2021-01-27 05:02:00
1,A52,2021-01-26 00:00:00,2021-01-27 05:02:00
0,A43,2021-01-27 05:02:00,2021-01-27 05:42:00
1,A43,2021-01-27 05:02:00,2021-01-27 05:42:00
0,A63,2021-01-27 05:42:00,2021-01-27 06:25:00
1,A63,2021-01-27 05:42:00,2021-01-27 06:25:00
0,A60,2021-01-27 06:25:00,2021-01-27 10:18:00
1,A60,2021-01-27 06:25:00,2021-01-27 10:18:00
0,A78,2021-01-27 10:18:00,2021-01-27 10:33:00
0,A46,2021-01-27 10:33:00,2021-01-28 03:31:00
1,A66,2021-01-27 10:18:00,2021-01-28 03:47:00
1,A46,2021-01-28 03:47:00,2021-01-28 20:45:00
0,A57,2021-01-28 03:31:00,2021-01-30 10:16:00
1,A57,2021-01-28 20:45:00,2021-01-31 03:30:00
0,A61,2021-01-30 10:16:00,2021-01-31 07:32:00
0,A13,2021-01-31 07:32:00,2021-01-31 10:51:00
1,A61,2021-01-31 03:30:00,2021-02-01 00:46:00
1,A13,2021-02-01 00:46:00,2021-02-01 04:05:00
0,A58,2021-01-31 10:51:00,2021-02-01 07:19:00
0,A50,2021-02-01 07:19:00,2021-02-01 07:21:00
0,A51,2021-02-01 07:21:00,2021-02-01 15:16:00
1,A58,2021-02-01 04:05:00,2021-02-02 00:33:00
1,A50,2021-02-02 00:33:00,2021-02-02 00:35:00
0,A29,2021-02-01 15:16:00,2021-02-02 02:05:00
1,A51,2021-02-02 00:35:00,2021-02-02 08:30:00
0,A49,2021-02-02 02:05:00,2021-02-02 13:51:00
1,A32,2021-02-02 08:30:00,2021-02-02 22:02:00
0,A47,2021-02-02 13:51:00,2021-02-03 00:21:00
1,A12,2021-02-02 22:02:00,2021-02-03 00:54:00
0,A117,2021-02-03 00:21:00,2021-02-03 11:07:00
0,A55,2021-02-03 11:07:00,2021-02-03 18:44:00
1,A58,2021-02-03 00:54:00,2021-02-03 21:22:00
1,A50,2021-02-03 21:22:00,2021-02-03 21:24:00
0,A103,2021-02-03 18:44:00,2021-02-04 00:17:00
1,A51,2021-02-03 21:24:00,2021-02-04 05:19:00
1,A39,2021-02-04 05:19:00,2021-02-04 17:38:00
0,A54,2021-02-04 00:17:00,2021-02-04 20:53:00
0,A48,2021-02-04 20:53:00,2021-02-04 21:41:00
1,A19,2021-02-04 17:38:00,2021-02-05 01:44:00
1,A58,2021-02-05 01:44:00,2021-02-05 22:12:00
1,A50,2021-02-05 22:12:00,2021-02-05 22:14:00
1,A51,2021-02-05 22:14:00,2021-02-06 06:09:00
1,A32,2021-02-06 06:09:00,2021-02-06 19:41:00
1,A12,2021-02-06 19:41:00,2021-02-06 22:33:00
1,A58,2021-02-06 22:33:00,2021-02-07 19:01:00
1,A50,2021-02-07 19:01:00,2021-02-07 19:03:00
1,A51,2021-02-07 19:03:00,2021-02-08 02:58:00
1,A28,2021-02-08 02:58:00,2021-02-08 13:12:00
1,A8,2021-02-08 13:12:00,2021-02-08 16:03:00
1,A58,2021-02-08 16:03:00,2021-02-09 12:31:00
1,A50,2021-02-09 12:31:00,2021-02-09 12:33:00
1,A51,2021-02-09 12:33:00,2021-02-09 20:28:00
1,A33,2021-02-09 20:28:00,2021-02-10 04:45:00
1,A49,2021-02-10 04:45:00,2021-02-10 16:31:00
1,A47,2021-02-10 16:31:00,2021-02-11 03:01:00
1,A104,2021-02-11 03:01:00,2021-02-11 09:48:00
1,A44,2021-02-11 09:48:00,2021-02-12 00:21:00
1,A107,2021-02-12 00:21:00,2021-02-12 08:42:00
1,A54,2021-02-12 08:42:00,2021-02-13 05:18:00
1,A48,2021-02-13 05:18:00,2021-02-13 06:06:00
0,A119,2021-02-04 21:41:00,2021-02-04 22:41:00
0,A56,2021-02-04 22:41:00,2021-02-05 01:41:00
0,A1,2021-02-05 01:41:00,2021-02-05 10:51:00
1,A119,2021-02-13 06:06:00,2021-02-13 07:06:00
1,A56,2021-02-13 07:06:00,2021-02-13 10:06:00
1,A1,2021-02-13 10:06:00,2021-02-13 19:02:00
