case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-02-27 00:00:00,2021-02-28 05:02:00
1,A52,2021-02-27 00:00:00,2021-02-28 05:02:00
0,A43,2021-02-28 05:02:00,2021-02-28 05:42:00
1,A43,2021-02-28 05:02:00,2021-02-28 05:42:00
0,A63,2021-02-28 05:42:00,2021-02-28 06:25:00
1,A63,2021-02-28 05:42:00,2021-02-28 06:25:00
0,A60,2021-02-28 06:25:00,2021-02-28 10:18:00
1,A60,2021-02-28 06:25:00,2021-02-28 10:18:00
0,A78,2021-02-28 10:18:00,2021-02-28 10:33:00
0,A46,2021-02-28 10:33:00,2021-03-01 03:31:00
1,A67,2021-02-28 10:18:00,2021-03-02 01:49:00
1,A46,2021-03-02 01:49:00,2021-03-02 18:47:00
0,A57,2021-03-01 03:31:00,2021-03-03 10:16:00
0,A61,2021-03-03 10:16:00,2021-03-04 07:32:00
0,A13,2021-03-04 07:32:00,2021-03-04 10:51:00
1,A57,2021-03-02 18:47:00,2021-03-05 01:32:00
1,A18,2021-03-05 01:32:00,2021-03-05 05:19:00
0,A58,2021-03-04 10:51:00,2021-03-05 07:19:00
0,A50,2021-03-05 07:19:00,2021-03-05 07:21:00
0,A51,2021-03-05 07:21:00,2021-03-05 15:16:00
1,A58,2021-03-05 05:19:00,2021-03-06 01:47:00
1,A50,2021-03-06 01:47:00,2021-03-06 01:49:00
0,A38,2021-03-05 15:16:00,2021-03-06 06:02:00
1,A51,2021-03-06 01:49:00,2021-03-06 09:44:00
0,A49,2021-03-06 06:02:00,2021-03-06 17:48:00
1,A31,2021-03-06 09:44:00,2021-03-06 18:25:00
1,A11,2021-03-06 18:25:00,2021-03-06 21:15:00
0,A47,2021-03-06 17:48:00,2021-03-07 04:18:00
0,A112,2021-03-07 04:18:00,2021-03-07 13:37:00
0,A53,2021-03-07 13:37:00,2021-03-07 13:43:00
1,A58,2021-03-06 21:15:00,2021-03-07 17:43:00
1,A50,2021-03-07 17:43:00,2021-03-07 17:45:00
0,A45,2021-03-07 13:43:00,2021-03-07 23:40:00
1,A51,2021-03-07 17:45:00,2021-03-08 01:40:00
0,A111,2021-03-07 23:40:00,2021-03-08 07:56:00
1,A29,2021-03-08 01:40:00,2021-03-08 12:29:00
0,A44,2021-03-08 07:56:00,2021-03-08 22:29:00
1,A49,2021-03-08 12:29:00,2021-03-09 00:15:00
1,A109,2021-03-09 00:15:00,2021-03-09 06:05:00
1,A53,2021-03-09 06:05:00,2021-03-09 06:11:00
0,A107,2021-03-08 22:29:00,2021-03-09 06:50:00
1,A45,2021-03-09 06:11:00,2021-03-09 16:08:00
1,A111,2021-03-09 16:08:00,2021-03-10 00:24:00
0,A54,2021-03-09 06:50:00,2021-03-10 03:26:00
0,A48,2021-03-10 03:26:00,2021-03-10 04:14:00
1,A44,2021-03-10 00:24:00,2021-03-10 14:57:00
1,A102,2021-03-10 14:57:00,2021-03-10 15:29:00
1,A119,2021-03-10 15:29:00,2021-03-10 16:29:00
1,A56,2021-03-10 16:29:00,2021-03-10 19:29:00
1,A1,2021-03-10 19:29:00,2021-03-11 04:49:00
