case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-06-30 00:00:00,2021-07-01 05:02:00
0,A43,2021-07-01 05:02:00,2021-07-01 05:42:00
0,A63,2021-07-01 05:42:00,2021-07-01 06:25:00
0,A60,2021-07-01 06:25:00,2021-07-01 10:18:00
0,A67,2021-07-01 10:18:00,2021-07-03 01:49:00
0,A46,2021-07-03 01:49:00,2021-07-03 18:47:00
0,A57,2021-07-03 18:47:00,2021-07-06 01:32:00
0,A15,2021-07-06 01:32:00,2021-07-06 02:38:00
0,A58,2021-07-06 02:38:00,2021-07-06 23:06:00
0,A50,2021-07-06 23:06:00,2021-07-06 23:08:00
0,A51,2021-07-06 23:08:00,2021-07-07 07:03:00
0,A33,2021-07-07 07:03:00,2021-07-07 15:20:00
0,A49,2021-07-07 15:20:00,2021-07-08 03:06:00
0,A47,2021-07-08 03:06:00,2021-07-08 13:36:00
0,A117,2021-07-08 13:36:00,2021-07-09 00:22:00
0,A55,2021-07-09 00:22:00,2021-07-09 07:59:00
0,A103,2021-07-09 07:59:00,2021-07-09 13:32:00
0,A54,2021-07-09 13:32:00,2021-07-10 10:08:00
0,A48,2021-07-10 10:08:00,2021-07-10 10:56:00
