case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-05-01 00:00:00,2021-05-02 05:02:00
1,A52,2021-05-01 00:00:00,2021-05-02 05:02:00
0,A43,2021-05-02 05:02:00,2021-05-02 05:42:00
1,A43,2021-05-02 05:02:00,2021-05-02 05:42:00
0,A63,2021-05-02 05:42:00,2021-05-02 06:25:00
1,A63,2021-05-02 05:42:00,2021-05-02 06:25:00
0,A60,2021-05-02 06:25:00,2021-05-02 10:18:00
1,A60,2021-05-02 06:25:00,2021-05-02 10:18:00
1,A79,2021-05-02 10:18:00,2021-05-02 13:46:00
0,A87,2021-05-02 10:18:00,2021-05-03 06:19:00
1,A46,2021-05-02 13:46:00,2021-05-03 06:44:00
0,A46,2021-05-03 06:19:00,2021-05-03 23:17:00
1,A57,2021-05-03 06:44:00,2021-05-05 13:29:00
0,A57,2021-05-03 23:17:00,2021-05-06 06:02:00
1,A61,2021-05-05 13:29:00,2021-05-06 10:45:00
1,A13,2021-05-06 10:45:00,2021-05-06 14:04:00
0,A61,2021-05-06 06:02:00,2021-05-07 03:18:00
0,A13,2021-05-07 03:18:00,2021-05-07 06:37:00
1,A58,2021-05-06 14:04:00,2021-05-07 10:32:00
1,A50,2021-05-07 10:32:00,2021-05-07 10:34:00
1,A51,2021-05-07 10:34:00,2021-05-07 18:29:00
0,A58,2021-05-07 06:37:00,2021-05-08 03:05:00
0,A50,2021-05-08 03:05:00,2021-05-08 03:07:00
1,A36,2021-05-07 18:29:00,2021-05-08 04:55:00
1,A16,2021-05-08 04:55:00,2021-05-08 07:40:00
0,A51,2021-05-08 03:07:00,2021-05-08 11:02:00
0,A33,2021-05-08 11:02:00,2021-05-08 19:19:00
1,A58,2021-05-08 07:40:00,2021-05-09 04:08:00
1,A50,2021-05-09 04:08:00,2021-05-09 04:10:00
0,A49,2021-05-08 19:19:00,2021-05-09 07:05:00
1,A51,2021-05-09 04:10:00,2021-05-09 12:05:00
0,A47,2021-05-09 07:05:00,2021-05-09 17:35:00
1,A29,2021-05-09 12:05:00,2021-05-09 22:54:00
0,A112,2021-05-09 17:35:00,2021-05-10 02:54:00
0,A53,2021-05-10 02:54:00,2021-05-10 03:00:00
1,A49,2021-05-09 22:54:00,2021-05-10 10:40:00
0,A45,2021-05-10 03:00:00,2021-05-10 12:57:00
1,A47,2021-05-10 10:40:00,2021-05-10 21:10:00
1,A112,2021-05-10 21:10:00,2021-05-11 06:29:00
1,A53,2021-05-11 06:29:00,2021-05-11 06:35:00
1,A45,2021-05-11 06:35:00,2021-05-11 16:32:00
0,A101,2021-05-10 12:57:00,2021-05-11 19:50:00
0,A55,2021-05-11 19:50:00,2021-05-12 03:27:00
0,A114,2021-05-12 03:27:00,2021-05-12 10:22:00
0,A44,2021-05-12 10:22:00,2021-05-13 00:55:00
0,A107,2021-05-13 00:55:00,2021-05-13 09:16:00
1,A110,2021-05-11 16:32:00,2021-05-14 00:32:00
0,A54,2021-05-13 09:16:00,2021-05-14 05:52:00
0,A48,2021-05-14 05:52:00,2021-05-14 06:40:00
1,A55,2021-05-14 00:32:00,2021-05-14 08:09:00
1,A114,2021-05-14 08:09:00,2021-05-14 15:04:00
1,A44,2021-05-14 15:04:00,2021-05-15 05:37:00
1,A107,2021-05-15 05:37:00,2021-05-15 13:58:00
1,A54,2021-05-15 13:58:00,2021-05-16 10:34:00
1,A48,2021-05-16 10:34:00,2021-05-16 11:22:00
0,A119,2021-05-14 06:40:00,2021-05-14 07:40:00
0,A56,2021-05-14 07:40:00,2021-05-14 10:40:00
0,A1,2021-05-14 10:40:00,2021-05-14 19:32:00
