case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-11-03 00:00:00,2021-11-04 05:02:00
1,A52,2021-11-03 00:00:00,2021-11-04 05:02:00
2,A52,2021-11-03 00:00:00,2021-11-04 05:02:00
3,A52,2021-11-03 00:00:00,2021-11-04 05:02:00
0,A43,2021-11-04 05:02:00,2021-11-04 05:42:00
1,A43,2021-11-04 05:02:00,2021-11-04 05:42:00
2,A43,2021-11-04 05:02:00,2021-11-04 05:42:00
3,A43,2021-11-04 05:02:00,2021-11-04 05:42:00
0,A63,2021-11-04 05:42:00,2021-11-04 06:25:00
1,A63,2021-11-04 05:42:00,2021-11-04 06:25:00
2,A63,2021-11-04 05:42:00,2021-11-04 06:25:00
3,A63,2021-11-04 05:42:00,2021-11-04 06:25:00
0,A60,2021-11-04 06:25:00,2021-11-04 10:18:00
1,A60,2021-11-04 06:25:00,2021-11-04 10:18:00
2,A60,2021-11-04 06:25:00,2021-11-04 10:18:00
3,A60,2021-11-04 06:25:00,2021-11-04 10:18:00
0,A65,2021-11-04 10:18:00,2021-11-04 21:47:00
1,A65,2021-11-04 10:18:00,2021-11-04 21:47:00
2,A65,2021-11-04 10:18:00,2021-11-04 21:47:00
3,A71,2021-11-04 10:18:00,2021-11-05 13:03:00
0,A46,2021-11-04 21:47:00,2021-11-05 14:45:00
1,A46,2021-11-04 21:47:00,2021-11-05 14:45:00
2,A46,2021-11-04 21:47:00,2021-11-05 14:45:00
3,A46,2021-11-05 13:03:00,2021-11-06 06:01:00
0,A57,2021-11-05 14:45:00,2021-11-07 21:30:00
1,A57,2021-11-05 14:45:00,2021-11-07 21:30:00
2,A57,2021-11-05 14:45:00,2021-11-07 21:30:00
1,A15,2021-11-07 21:30:00,2021-11-07 22:36:00
3,A57,2021-11-06 06:01:00,2021-11-08 12:46:00
3,A18,2021-11-08 12:46:00,2021-11-08 16:33:00
0,A61,2021-11-07 21:30:00,2021-11-08 18:46:00
2,A61,2021-11-07 21:30:00,2021-11-08 18:46:00
1,A58,2021-11-07 22:36:00,2021-11-08 19:04:00
1,A50,2021-11-08 19:04:00,2021-11-08 19:06:00
0,A13,2021-11-08 18:46:00,2021-11-08 22:05:00
2,A13,2021-11-08 18:46:00,2021-11-08 22:05:00
1,A51,2021-11-08 19:06:00,2021-11-09 03:01:00
3,A58,2021-11-08 16:33:00,2021-11-09 13:01:00
3,A50,2021-11-09 13:01:00,2021-11-09 13:03:00
1,A36,2021-11-09 03:01:00,2021-11-09 13:27:00
1,A16,2021-11-09 13:27:00,2021-11-09 16:12:00
0,A58,2021-11-08 22:05:00,2021-11-09 18:33:00
2,A58,2021-11-08 22:05:00,2021-11-09 18:33:00
0,A50,2021-11-09 18:33:00,2021-11-09 18:35:00
2,A50,2021-11-09 18:33:00,2021-11-09 18:35:00
3,A51,2021-11-09 13:03:00,2021-11-09 20:58:00
0,A51,2021-11-09 18:35:00,2021-11-10 02:30:00
2,A51,2021-11-09 18:35:00,2021-11-10 02:30:00
3,A38,2021-11-09 20:58:00,2021-11-10 11:44:00
1,A58,2021-11-09 16:12:00,2021-11-10 12:40:00
1,A50,2021-11-10 12:40:00,2021-11-10 12:42:00
0,A29,2021-11-10 02:30:00,2021-11-10 13:19:00
2,A29,2021-11-10 02:30:00,2021-11-10 13:19:00
1,A51,2021-11-10 12:42:00,2021-11-10 20:37:00
3,A49,2021-11-10 11:44:00,2021-11-10 23:30:00
0,A49,2021-11-10 13:19:00,2021-11-11 01:05:00
2,A49,2021-11-10 13:19:00,2021-11-11 01:05:00
1,A36,2021-11-10 20:37:00,2021-11-11 07:03:00
1,A16,2021-11-11 07:03:00,2021-11-11 09:48:00
3,A47,2021-11-10 23:30:00,2021-11-11 10:00:00
0,A47,2021-11-11 01:05:00,2021-11-11 11:35:00
2,A47,2021-11-11 01:05:00,2021-11-11 11:35:00
2,A104,2021-11-11 11:35:00,2021-11-11 18:22:00
3,A112,2021-11-11 10:00:00,2021-11-11 19:19:00
3,A53,2021-11-11 19:19:00,2021-11-11 19:25:00
0,A112,2021-11-11 11:35:00,2021-11-11 20:54:00
0,A53,2021-11-11 20:54:00,2021-11-11 21:00:00
3,A45,2021-11-11 19:25:00,2021-11-12 05:22:00
1,A58,2021-11-11 09:48:00,2021-11-12 06:16:00
1,A50,2021-11-12 06:16:00,2021-11-12 06:18:00
0,A45,2021-11-11 21:00:00,2021-11-12 06:57:00
2,A44,2021-11-11 18:22:00,2021-11-12 08:55:00
1,A51,2021-11-12 06:18:00,2021-11-12 14:13:00
0,A111,2021-11-12 06:57:00,2021-11-12 15:13:00
2,A107,2021-11-12 08:55:00,2021-11-12 17:16:00
1,A41,2021-11-12 14:13:00,2021-11-12 23:41:00
1,A21,2021-11-12 23:41:00,2021-11-13 02:14:00
0,A44,2021-11-12 15:13:00,2021-11-13 05:46:00
3,A101,2021-11-12 05:22:00,2021-11-13 12:15:00
2,A54,2021-11-12 17:16:00,2021-11-13 13:52:00
0,A107,2021-11-13 05:46:00,2021-11-13 14:07:00
2,A48,2021-11-13 13:52:00,2021-11-13 14:40:00
3,A55,2021-11-13 12:15:00,2021-11-13 19:52:00
1,A58,2021-11-13 02:14:00,2021-11-13 22:42:00
1,A50,2021-11-13 22:42:00,2021-11-13 22:44:00
3,A114,2021-11-13 19:52:00,2021-11-14 02:47:00
1,A51,2021-11-13 22:44:00,2021-11-14 06:39:00
0,A54,2021-11-13 14:07:00,2021-11-14 10:43:00
0,A48,2021-11-14 10:43:00,2021-11-14 11:31:00
1,A35,2021-11-14 06:39:00,2021-11-14 13:29:00
3,A44,2021-11-14 02:47:00,2021-11-14 17:20:00
1,A49,2021-11-14 13:29:00,2021-11-15 01:15:00
3,A107,2021-11-14 17:20:00,2021-11-15 01:41:00
1,A47,2021-11-15 01:15:00,2021-11-15 11:45:00
3,A54,2021-11-15 01:41:00,2021-11-15 22:17:00
3,A48,2021-11-15 22:17:00,2021-11-15 23:05:00
1,A113,2021-11-15 11:45:00,2021-11-16 03:16:00
1,A53,2021-11-16 03:16:00,2021-11-16 03:22:00
1,A45,2021-11-16 03:22:00,2021-11-16 13:19:00
1,A101,2021-11-16 13:19:00,2021-11-17 20:12:00
1,A55,2021-11-17 20:12:00,2021-11-18 03:49:00
1,A114,2021-11-18 03:49:00,2021-11-18 10:44:00
1,A44,2021-11-18 10:44:00,2021-11-19 01:17:00
1,A107,2021-11-19 01:17:00,2021-11-19 09:38:00
1,A54,2021-11-19 09:38:00,2021-11-20 06:14:00
1,A48,2021-11-20 06:14:00,2021-11-20 07:02:00
2,A119,2021-11-13 14:40:00,2021-11-13 15:40:00
2,A56,2021-11-13 15:40:00,2021-11-13 18:40:00
2,A1,2021-11-13 18:40:00,2021-11-14 04:10:00
3,A119,2021-11-15 23:05:00,2021-11-16 00:05:00
3,A56,2021-11-16 00:05:00,2021-11-16 03:05:00
3,A1,2021-11-16 03:05:00,2021-11-16 11:46:00
1,A119,2021-11-20 07:02:00,2021-11-20 08:02:00
1,A56,2021-11-20 08:02:00,2021-11-20 11:02:00
1,A1,2021-11-20 11:02:00,2021-11-20 19:45:00
