case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-04-08 00:00:00,2021-04-09 05:02:00
1,A52,2021-04-08 00:00:00,2021-04-09 05:02:00
0,A43,2021-04-09 05:02:00,2021-04-09 05:42:00
1,A43,2021-04-09 05:02:00,2021-04-09 05:42:00
0,A63,2021-04-09 05:42:00,2021-04-09 06:25:00
1,A63,2021-04-09 05:42:00,2021-04-09 06:25:00
0,A60,2021-04-09 06:25:00,2021-04-09 10:18:00
1,A60,2021-04-09 06:25:00,2021-04-09 10:18:00
0,A65,2021-04-09 10:18:00,2021-04-09 21:47:00
1,A71,2021-04-09 10:18:00,2021-04-10 13:03:00
0,A46,2021-04-09 21:47:00,2021-04-10 14:45:00
1,A46,2021-04-10 13:03:00,2021-04-11 06:01:00
0,A57,2021-04-10 14:45:00,2021-04-12 21:30:00
0,A18,2021-04-12 21:30:00,2021-04-13 01:17:00
1,A57,2021-04-11 06:01:00,2021-04-13 12:46:00
0,A58,2021-04-13 01:17:00,2021-04-13 21:45:00
0,A50,2021-04-13 21:45:00,2021-04-13 21:47:00
0,A51,2021-04-13 21:47:00,2021-04-14 05:42:00
1,A61,2021-04-13 12:46:00,2021-04-14 10:02:00
1,A13,2021-04-14 10:02:00,2021-04-14 13:21:00
0,A36,2021-04-14 05:42:00,2021-04-14 16:08:00
0,A16,2021-04-14 16:08:00,2021-04-14 18:53:00
1,A58,2021-04-14 13:21:00,2021-04-15 09:49:00
1,A50,2021-04-15 09:49:00,2021-04-15 09:51:00
0,A58,2021-04-14 18:53:00,2021-04-15 15:21:00
0,A50,2021-04-15 15:21:00,2021-04-15 15:23:00
1,A51,2021-04-15 09:51:00,2021-04-15 17:46:00
0,A51,2021-04-15 15:23:00,2021-04-15 23:18:00
1,A33,2021-04-15 17:46:00,2021-04-16 02:03:00
0,A29,2021-04-15 23:18:00,2021-04-16 10:07:00
1,A49,2021-04-16 02:03:00,2021-04-16 13:49:00
1,A109,2021-04-16 13:49:00,2021-04-16 19:39:00
1,A53,2021-04-16 19:39:00,2021-04-16 19:45:00
0,A49,2021-04-16 10:07:00,2021-04-16 21:53:00
1,A45,2021-04-16 19:45:00,2021-04-17 05:42:00
0,A47,2021-04-16 21:53:00,2021-04-17 08:23:00
1,A111,2021-04-17 05:42:00,2021-04-17 13:58:00
0,A112,2021-04-17 08:23:00,2021-04-17 17:42:00
0,A53,2021-04-17 17:42:00,2021-04-17 17:48:00
0,A45,2021-04-17 17:48:00,2021-04-18 03:45:00
1,A44,2021-04-17 13:58:00,2021-04-18 04:31:00
0,A111,2021-04-18 03:45:00,2021-04-18 12:01:00
1,A107,2021-04-18 04:31:00,2021-04-18 12:52:00
0,A44,2021-04-18 12:01:00,2021-04-19 02:34:00
1,A54,2021-04-18 12:52:00,2021-04-19 09:28:00
1,A48,2021-04-19 09:28:00,2021-04-19 10:16:00
0,A107,2021-04-19 02:34:00,2021-04-19 10:55:00
0,A54,2021-04-19 10:55:00,2021-04-20 07:31:00
0,A48,2021-04-20 07:31:00,2021-04-20 08:19:00
0,A119,2021-04-20 08:19:00,2021-04-20 09:19:00
0,A56,2021-04-20 09:19:00,2021-04-20 12:19:00
0,A1,2021-04-20 12:19:00,2021-04-20 21:36:00
