case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-09-09 00:00:00,2021-09-10 05:02:00
1,A52,2021-09-09 00:00:00,2021-09-10 05:02:00
0,A43,2021-09-10 05:02:00,2021-09-10 05:42:00
1,A43,2021-09-10 05:02:00,2021-09-10 05:42:00
0,A63,2021-09-10 05:42:00,2021-09-10 06:25:00
1,A63,2021-09-10 05:42:00,2021-09-10 06:25:00
0,A60,2021-09-10 06:25:00,2021-09-10 10:18:00
1,A60,2021-09-10 06:25:00,2021-09-10 10:18:00
0,A66,2021-09-10 10:18:00,2021-09-11 03:47:00
0,A46,2021-09-11 03:47:00,2021-09-11 20:45:00
1,A67,2021-09-10 10:18:00,2021-09-12 01:49:00
1,A46,2021-09-12 01:49:00,2021-09-12 18:47:00
0,A57,2021-09-11 20:45:00,2021-09-14 03:30:00
0,A61,2021-09-14 03:30:00,2021-09-15 00:46:00
1,A57,2021-09-12 18:47:00,2021-09-15 01:32:00
0,A13,2021-09-15 00:46:00,2021-09-15 04:05:00
1,A61,2021-09-15 01:32:00,2021-09-15 22:48:00
0,A58,2021-09-15 04:05:00,2021-09-16 00:33:00
0,A50,2021-09-16 00:33:00,2021-09-16 00:35:00
1,A13,2021-09-15 22:48:00,2021-09-16 02:07:00
0,A51,2021-09-16 00:35:00,2021-09-16 08:30:00
0,A33,2021-09-16 08:30:00,2021-09-16 16:47:00
1,A58,2021-09-16 02:07:00,2021-09-16 22:35:00
1,A50,2021-09-16 22:35:00,2021-09-16 22:37:00
0,A49,2021-09-16 16:47:00,2021-09-17 04:33:00
1,A51,2021-09-16 22:37:00,2021-09-17 06:32:00
0,A47,2021-09-17 04:33:00,2021-09-17 15:03:00
1,A39,2021-09-17 06:32:00,2021-09-17 18:51:00
0,A117,2021-09-17 15:03:00,2021-09-18 01:49:00
1,A19,2021-09-17 18:51:00,2021-09-18 02:57:00
0,A55,2021-09-18 01:49:00,2021-09-18 09:26:00
0,A114,2021-09-18 09:26:00,2021-09-18 16:21:00
1,A58,2021-09-18 02:57:00,2021-09-18 23:25:00
1,A50,2021-09-18 23:25:00,2021-09-18 23:27:00
0,A44,2021-09-18 16:21:00,2021-09-19 06:54:00
1,A51,2021-09-18 23:27:00,2021-09-19 07:22:00
0,A107,2021-09-19 06:54:00,2021-09-19 15:15:00
1,A42,2021-09-19 07:22:00,2021-09-19 18:22:00
1,A49,2021-09-19 18:22:00,2021-09-20 06:08:00
0,A54,2021-09-19 15:15:00,2021-09-20 11:51:00
1,A109,2021-09-20 06:08:00,2021-09-20 11:58:00
1,A53,2021-09-20 11:58:00,2021-09-20 12:04:00
0,A48,2021-09-20 11:51:00,2021-09-20 12:39:00
1,A45,2021-09-20 12:04:00,2021-09-20 22:01:00
1,A111,2021-09-20 22:01:00,2021-09-21 06:17:00
1,A44,2021-09-21 06:17:00,2021-09-21 20:50:00
1,A107,2021-09-21 20:50:00,2021-09-22 05:11:00
1,A54,2021-09-22 05:11:00,2021-09-23 01:47:00
1,A48,2021-09-23 01:47:00,2021-09-23 02:35:00
0,A119,2021-09-20 12:39:00,2021-09-20 13:39:00
0,A56,2021-09-20 13:39:00,2021-09-20 16:39:00
0,A1,2021-09-20 16:39:00,2021-09-21 01:20:00
1,A119,2021-09-23 02:35:00,2021-09-23 03:35:00
1,A56,2021-09-23 03:35:00,2021-09-23 06:35:00
1,A1,2021-09-23 06:35:00,2021-09-23 15:33:00
