case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-12-17 00:00:00,2021-12-18 05:02:00
1,A52,2021-12-17 00:00:00,2021-12-18 05:02:00
0,A43,2021-12-18 05:02:00,2021-12-18 05:42:00
1,A43,2021-12-18 05:02:00,2021-12-18 05:42:00
0,A63,2021-12-18 05:42:00,2021-12-18 06:25:00
1,A63,2021-12-18 05:42:00,2021-12-18 06:25:00
0,A60,2021-12-18 06:25:00,2021-12-18 10:18:00
1,A60,2021-12-18 06:25:00,2021-12-18 10:18:00
1,A65,2021-12-18 10:18:00,2021-12-18 21:47:00
1,A46,2021-12-18 21:47:00,2021-12-19 14:45:00
0,A73,2021-12-18 10:18:00,2021-12-20 05:53:00
0,A46,2021-12-20 05:53:00,2021-12-20 22:51:00
1,A57,2021-12-19 14:45:00,2021-12-21 21:30:00
1,A18,2021-12-21 21:30:00,2021-12-22 01:17:00
1,A58,2021-12-22 01:17:00,2021-12-22 21:45:00
1,A50,2021-12-22 21:45:00,2021-12-22 21:47:00
0,A57,2021-12-20 22:51:00,2021-12-23 05:36:00
1,A51,2021-12-22 21:47:00,2021-12-23 05:42:00
0,A15,2021-12-23 05:36:00,2021-12-23 06:42:00
1,A27,2021-12-23 05:42:00,2021-12-23 11:58:00
1,A7,2021-12-23 11:58:00,2021-12-23 16:16:00
0,A58,2021-12-23 06:42:00,2021-12-24 03:10:00
0,A50,2021-12-24 03:10:00,2021-12-24 03:12:00
0,A51,2021-12-24 03:12:00,2021-12-24 11:07:00
1,A58,2021-12-23 16:16:00,2021-12-24 12:44:00
1,A50,2021-12-24 12:44:00,2021-12-24 12:46:00
0,A27,2021-12-24 11:07:00,2021-12-24 17:23:00
1,A51,2021-12-24 12:46:00,2021-12-24 20:41:00
0,A7,2021-12-24 17:23:00,2021-12-24 21:41:00
1,A36,2021-12-24 20:41:00,2021-12-25 07:07:00
1,A16,2021-12-25 07:07:00,2021-12-25 09:52:00
0,A58,2021-12-24 21:41:00,2021-12-25 18:09:00
0,A50,2021-12-25 18:09:00,2021-12-25 18:11:00
0,A51,2021-12-25 18:11:00,2021-12-26 02:06:00
1,A58,2021-12-25 09:52:00,2021-12-26 06:20:00
1,A50,2021-12-26 06:20:00,2021-12-26 06:22:00
0,A33,2021-12-26 02:06:00,2021-12-26 10:23:00
1,A51,2021-12-26 06:22:00,2021-12-26 14:17:00
0,A49,2021-12-26 10:23:00,2021-12-26 22:09:00
1,A36,2021-12-26 14:17:00,2021-12-27 00:43:00
1,A16,2021-12-27 00:43:00,2021-12-27 03:28:00
0,A47,2021-12-26 22:09:00,2021-12-27 08:39:00
0,A117,2021-12-27 08:39:00,2021-12-27 19:25:00
1,A58,2021-12-27 03:28:00,2021-12-27 23:56:00
1,A50,2021-12-27 23:56:00,2021-12-27 23:58:00
0,A55,2021-12-27 19:25:00,2021-12-28 03:02:00
1,A51,2021-12-27 23:58:00,2021-12-28 07:53:00
0,A103,2021-12-28 03:02:00,2021-12-28 08:35:00
1,A31,2021-12-28 07:53:00,2021-12-28 16:34:00
1,A11,2021-12-28 16:34:00,2021-12-28 19:24:00
0,A54,2021-12-28 08:35:00,2021-12-29 05:11:00
0,A48,2021-12-29 05:11:00,2021-12-29 05:59:00
1,A58,2021-12-28 19:24:00,2021-12-29 15:52:00
1,A50,2021-12-29 15:52:00,2021-12-29 15:54:00
1,A51,2021-12-29 15:54:00,2021-12-29 23:49:00
1,A41,2021-12-29 23:49:00,2021-12-30 09:17:00
1,A21,2021-12-30 09:17:00,2021-12-30 11:50:00
1,A58,2021-12-30 11:50:00,2021-12-31 08:18:00
1,A50,2021-12-31 08:18:00,2021-12-31 08:20:00
1,A51,2021-12-31 08:20:00,2021-12-31 16:15:00
1,A36,2021-12-31 16:15:00,2022-01-01 02:41:00
1,A16,2022-01-01 02:41:00,2022-01-01 05:26:00
1,A58,2022-01-01 05:26:00,2022-01-02 01:54:00
1,A50,2022-01-02 01:54:00,2022-01-02 01:56:00
1,A51,2022-01-02 01:56:00,2022-01-02 09:51:00
1,A32,2022-01-02 09:51:00,2022-01-02 23:23:00
1,A12,2022-01-02 23:23:00,2022-01-03 02:15:00
1,A58,2022-01-03 02:15:00,2022-01-03 22:43:00
1,A50,2022-01-03 22:43:00,2022-01-03 22:45:00
1,A51,2022-01-03 22:45:00,2022-01-04 06:40:00
1,A23,2022-01-04 06:40:00,2022-01-04 19:10:00
1,A49,2022-01-04 19:10:00,2022-01-05 06:56:00
1,A109,2022-01-05 06:56:00,2022-01-05 12:46:00
1,A53,2022-01-05 12:46:00,2022-01-05 12:52:00
1,A45,2022-01-05 12:52:00,2022-01-05 22:49:00
1,A101,2022-01-05 22:49:00,2022-01-07 05:42:00
1,A55,2022-01-07 05:42:00,2022-01-07 13:19:00
1,A114,2022-01-07 13:19:00,2022-01-07 20:14:00
1,A44,2022-01-07 20:14:00,2022-01-08 10:47:00
1,A107,2022-01-08 10:47:00,2022-01-08 19:08:00
1,A54,2022-01-08 19:08:00,2022-01-09 15:44:00
1,A48,2022-01-09 15:44:00,2022-01-09 16:32:00
0,A119,2021-12-29 05:59:00,2021-12-29 06:59:00
0,A56,2021-12-29 06:59:00,2021-12-29 09:59:00
0,A1,2021-12-29 09:59:00,2021-12-29 18:35:00
