case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-02-20 00:00:00,2021-02-21 05:02:00
1,A52,2021-02-20 00:00:00,2021-02-21 05:02:00
0,A43,2021-02-21 05:02:00,2021-02-21 05:42:00
1,A43,2021-02-21 05:02:00,2021-02-21 05:42:00
0,A63,2021-02-21 05:42:00,2021-02-21 06:25:00
1,A63,2021-02-21 05:42:00,2021-02-21 06:25:00
0,A60,2021-02-21 06:25:00,2021-02-21 10:18:00
1,A60,2021-02-21 06:25:00,2021-02-21 10:18:00
0,A65,2021-02-21 10:18:00,2021-02-21 21:47:00
1,A87,2021-02-21 10:18:00,2021-02-22 06:19:00
0,A46,2021-02-21 21:47:00,2021-02-22 14:45:00
1,A46,2021-02-22 06:19:00,2021-02-22 23:17:00
0,A57,2021-02-22 14:45:00,2021-02-24 21:30:00
1,A57,2021-02-22 23:17:00,2021-02-25 06:02:00
0,A61,2021-02-24 21:30:00,2021-02-25 18:46:00
0,A13,2021-02-25 18:46:00,2021-02-25 22:05:00
1,A61,2021-02-25 06:02:00,2021-02-26 03:18:00
1,A13,2021-02-26 03:18:00,2021-02-26 06:37:00
0,A58,2021-02-25 22:05:00,2021-02-26 18:33:00
0,A50,2021-02-26 18:33:00,2021-02-26 18:35:00
0,A51,2021-02-26 18:35:00,2021-02-27 02:30:00
1,A58,2021-02-26 06:37:00,2021-02-27 03:05:00
1,A50,2021-02-27 03:05:00,2021-02-27 03:07:00
1,A51,2021-02-27 03:07:00,2021-02-27 11:02:00
0,A39,2021-02-27 02:30:00,2021-02-27 14:49:00
1,A33,2021-02-27 11:02:00,2021-02-27 19:19:00
0,A19,2021-02-27 14:49:00,2021-02-27 22:55:00
1,A49,2021-02-27 19:19:00,2021-02-28 07:05:00
1,A109,2021-02-28 07:05:00,2021-02-28 12:55:00
1,A53,2021-02-28 12:55:00,2021-02-28 13:01:00
0,A58,2021-02-27 22:55:00,2021-02-28 19:23:00
0,A50,2021-02-28 19:23:00,2021-02-28 19:25:00
1,A45,2021-02-28 13:01:00,2021-02-28 22:58:00
0,A51,2021-02-28 19:25:00,2021-03-01 03:20:00
0,A33,2021-03-01 03:20:00,2021-03-01 11:37:00
0,A49,2021-03-01 11:37:00,2021-03-01 23:23:00
0,A109,2021-03-01 23:23:00,2021-03-02 05:13:00
0,A53,2021-03-02 05:13:00,2021-03-02 05:19:00
1,A101,2021-02-28 22:58:00,2021-03-02 05:51:00
1,A55,2021-03-02 05:51:00,2021-03-02 13:28:00
0,A45,2021-03-02 05:19:00,2021-03-02 15:16:00
1,A103,2021-03-02 13:28:00,2021-03-02 19:01:00
0,A111,2021-03-02 15:16:00,2021-03-02 23:32:00
0,A44,2021-03-02 23:32:00,2021-03-03 14:05:00
1,A54,2021-03-02 19:01:00,2021-03-03 15:37:00
1,A48,2021-03-03 15:37:00,2021-03-03 16:25:00
0,A107,2021-03-03 14:05:00,2021-03-03 22:26:00
0,A54,2021-03-03 22:26:00,2021-03-04 19:02:00
0,A48,2021-03-04 19:02:00,2021-03-04 19:50:00
1,A119,2021-03-03 16:25:00,2021-03-03 17:25:00
1,A56,2021-03-03 17:25:00,2021-03-03 20:25:00
1,A1,2021-03-03 20:25:00,2021-03-04 05:40:00
0,A119,2021-03-04 19:50:00,2021-03-04 20:50:00
0,A56,2021-03-04 20:50:00,2021-03-04 23:50:00
0,A1,2021-03-04 23:50:00,2021-03-05 08:20:00
