case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-06-20 00:00:00,2021-06-21 05:02:00
0,A43,2021-06-21 05:02:00,2021-06-21 05:42:00
0,A63,2021-06-21 05:42:00,2021-06-21 06:25:00
0,A60,2021-06-21 06:25:00,2021-06-21 10:18:00
0,A87,2021-06-21 10:18:00,2021-06-22 06:19:00
0,A46,2021-06-22 06:19:00,2021-06-22 23:17:00
0,A57,2021-06-22 23:17:00,2021-06-25 06:02:00
0,A18,2021-06-25 06:02:00,2021-06-25 09:49:00
0,A58,2021-06-25 09:49:00,2021-06-26 06:17:00
0,A50,2021-06-26 06:17:00,2021-06-26 06:19:00
0,A51,2021-06-26 06:19:00,2021-06-26 14:14:00
0,A31,2021-06-26 14:14:00,2021-06-26 22:55:00
0,A11,2021-06-26 22:55:00,2021-06-27 01:45:00
0,A58,2021-06-27 01:45:00,2021-06-27 22:13:00
0,A50,2021-06-27 22:13:00,2021-06-27 22:15:00
0,A51,2021-06-27 22:15:00,2021-06-28 06:10:00
0,A33,2021-06-28 06:10:00,2021-06-28 14:27:00
0,A49,2021-06-28 14:27:00,2021-06-29 02:13:00
0,A47,2021-06-29 02:13:00,2021-06-29 12:43:00
0,A104,2021-06-29 12:43:00,2021-06-29 19:30:00
0,A44,2021-06-29 19:30:00,2021-06-30 10:03:00
0,A107,2021-06-30 10:03:00,2021-06-30 18:24:00
0,A54,2021-06-30 18:24:00,2021-07-01 15:00:00
0,A48,2021-07-01 15:00:00,2021-07-01 15:48:00
0,A119,2021-07-01 15:48:00,2021-07-01 16:48:00
0,A56,2021-07-01 16:48:00,2021-07-01 19:48:00
0,A1,2021-07-01 19:48:00,2021-07-02 05:03:00
