case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-03-23 00:00:00,2021-03-24 05:02:00
1,A52,2021-03-23 00:00:00,2021-03-24 05:02:00
0,A43,2021-03-24 05:02:00,2021-03-24 05:42:00
1,A43,2021-03-24 05:02:00,2021-03-24 05:42:00
0,A63,2021-03-24 05:42:00,2021-03-24 06:25:00
1,A63,2021-03-24 05:42:00,2021-03-24 06:25:00
0,A60,2021-03-24 06:25:00,2021-03-24 10:18:00
1,A60,2021-03-24 06:25:00,2021-03-24 10:18:00
0,A65,2021-03-24 10:18:00,2021-03-24 21:47:00
1,A65,2021-03-24 10:18:00,2021-03-24 21:47:00
0,A46,2021-03-24 21:47:00,2021-03-25 14:45:00
1,A46,2021-03-24 21:47:00,2021-03-25 14:45:00
0,A57,2021-03-25 14:45:00,2021-03-27 21:30:00
1,A57,2021-03-25 14:45:00,2021-03-27 21:30:00
0,A18,2021-03-27 21:30:00,2021-03-28 01:17:00
1,A18,2021-03-27 21:30:00,2021-03-28 01:17:00
0,A58,2021-03-28 01:17:00,2021-03-28 21:45:00
1,A58,2021-03-28 01:17:00,2021-03-28 21:45:00
0,A50,2021-03-28 21:45:00,2021-03-28 21:47:00
1,A50,2021-03-28 21:45:00,2021-03-28 21:47:00
0,A51,2021-03-28 21:47:00,2021-03-29 05:42:00
1,A51,2021-03-28 21:47:00,2021-03-29 05:42:00
0,A28,2021-03-29 05:42:00,2021-03-29 15:56:00
1,A36,2021-03-29 05:42:00,2021-03-29 16:08:00
0,A8,2021-03-29 15:56:00,2021-03-29 18:47:00
1,A16,2021-03-29 16:08:00,2021-03-29 18:53:00
0,A58,2021-03-29 18:47:00,2021-03-30 15:15:00
0,A50,2021-03-30 15:15:00,2021-03-30 15:17:00
1,A58,2021-03-29 18:53:00,2021-03-30 15:21:00
1,A50,2021-03-30 15:21:00,2021-03-30 15:23:00
0,A51,2021-03-30 15:17:00,2021-03-30 23:12:00
1,A51,2021-03-30 15:23:00,2021-03-30 23:18:00
1,A33,2021-03-30 23:18:00,2021-03-31 07:35:00
0,A39,2021-03-30 23:12:00,2021-03-31 11:31:00
1,A49,2021-03-31 07:35:00,2021-03-31 19:21:00
0,A19,2021-03-31 11:31:00,2021-03-31 19:37:00
1,A47,2021-03-31 19:21:00,2021-04-01 05:51:00
1,A112,2021-04-01 05:51:00,2021-04-01 15:10:00
1,A53,2021-04-01 15:10:00,2021-04-01 15:16:00
0,A58,2021-03-31 19:37:00,2021-04-01 16:05:00
0,A50,2021-04-01 16:05:00,2021-04-01 16:07:00
0,A51,2021-04-01 16:07:00,2021-04-02 00:02:00
1,A45,2021-04-01 15:16:00,2021-04-02 01:13:00
0,A33,2021-04-02 00:02:00,2021-04-02 08:19:00
1,A2,2021-04-02 01:13:00,2021-04-02 15:04:00
0,A49,2021-04-02 08:19:00,2021-04-02 20:05:00
1,A55,2021-04-02 15:04:00,2021-04-02 22:41:00
1,A103,2021-04-02 22:41:00,2021-04-03 04:14:00
0,A47,2021-04-02 20:05:00,2021-04-03 06:35:00
0,A112,2021-04-03 06:35:00,2021-04-03 15:54:00
0,A53,2021-04-03 15:54:00,2021-04-03 16:00:00
1,A54,2021-04-03 04:14:00,2021-04-04 00:50:00
1,A48,2021-04-04 00:50:00,2021-04-04 01:38:00
0,A45,2021-04-03 16:00:00,2021-04-04 01:57:00
0,A101,2021-04-04 01:57:00,2021-04-05 08:50:00
0,A55,2021-04-05 08:50:00,2021-04-05 16:27:00
0,A114,2021-04-05 16:27:00,2021-04-05 23:22:00
0,A44,2021-04-05 23:22:00,2021-04-06 13:55:00
0,A107,2021-04-06 13:55:00,2021-04-06 22:16:00
0,A54,2021-04-06 22:16:00,2021-04-07 18:52:00
0,A48,2021-04-07 18:52:00,2021-04-07 19:40:00
1,A119,2021-04-04 01:38:00,2021-04-04 02:38:00
1,A56,2021-04-04 02:38:00,2021-04-04 05:38:00
1,A1,2021-04-04 05:38:00,2021-04-04 14:56:00
0,A119,2021-04-07 19:40:00,2021-04-07 20:40:00
0,A56,2021-04-07 20:40:00,2021-04-07 23:40:00
0,A1,2021-04-07 23:40:00,2021-04-08 08:22:00
