case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-01-25 00:00:00,2021-01-26 05:02:00
1,A52,2021-01-25 00:00:00,2021-01-26 05:02:00
2,A52,2021-01-25 00:00:00,2021-01-26 05:02:00
3,A52,2021-01-25 00:00:00,2021-01-26 05:02:00
0,A43,2021-01-26 05:02:00,2021-01-26 05:42:00
1,A43,2021-01-26 05:02:00,2021-01-26 05:42:00
2,A43,2021-01-26 05:02:00,2021-01-26 05:42:00
3,A43,2021-01-26 05:02:00,2021-01-26 05:42:00
0,A63,2021-01-26 05:42:00,2021-01-26 06:25:00
1,A63,2021-01-26 05:42:00,2021-01-26 06:25:00
2,A63,2021-01-26 05:42:00,2021-01-26 06:25:00
3,A63,2021-01-26 05:42:00,2021-01-26 06:25:00
0,A60,2021-01-26 06:25:00,2021-01-26 10:18:00
1,A60,2021-01-26 06:25:00,2021-01-26 10:18:00
2,A60,2021-01-26 06:25:00,2021-01-26 10:18:00
3,A60,2021-01-26 06:25:00,2021-01-26 10:18:00
2,A78,2021-01-26 10:18:00,2021-01-26 10:33:00
0,A65,2021-01-26 10:18:00,2021-01-26 21:47:00
2,A46,2021-01-26 10:33:00,2021-01-27 03:31:00
3,A71,2021-01-26 10:18:00,2021-01-27 13:03:00
0,A46,2021-01-26 21:47:00,2021-01-27 14:45:00
1,A67,2021-01-26 10:18:00,2021-01-28 01:49:00
3,A46,2021-01-27 13:03:00,2021-01-28 06:01:00
1,A46,2021-01-28 01:49:00,2021-01-28 18:47:00
2,A57,2021-01-27 03:31:00,2021-01-29 10:16:00
0,A57,2021-01-27 14:45:00,2021-01-29 21:30:00
2,A61,2021-01-29 10:16:00,2021-01-30 07:32:00
2,A13,2021-01-30 07:32:00,2021-01-30 10:51:00
3,A57,2021-01-28 06:01:00,2021-01-30 12:46:00
0,A61,2021-01-29 21:30:00,2021-01-30 18:46:00
0,A13,2021-01-30 18:46:00,2021-01-30 22:05:00
1,A57,2021-01-28 18:47:00,2021-01-31 01:32:00
2,A58,2021-01-30 10:51:00,2021-01-31 07:19:00
2,A50,2021-01-31 07:19:00,2021-01-31 07:21:00
3,A61,2021-01-30 12:46:00,2021-01-31 10:02:00
3,A13,2021-01-31 10:02:00,2021-01-31 13:21:00
2,A51,2021-01-31 07:21:00,2021-01-31 15:16:00
0,A58,2021-01-30 22:05:00,2021-01-31 18:33:00
0,A50,2021-01-31 18:33:00,2021-01-31 18:35:00
2,A35,2021-01-31 15:16:00,2021-01-31 22:06:00
1,A61,2021-01-31 01:32:00,2021-01-31 22:48:00
1,A13,2021-01-31 22:48:00,2021-02-01 02:07:00
0,A51,2021-01-31 18:35:00,2021-02-01 02:30:00
3,A58,2021-01-31 13:21:00,2021-02-01 09:49:00
3,A50,2021-02-01 09:49:00,2021-02-01 09:51:00
2,A49,2021-01-31 22:06:00,2021-02-01 09:52:00
0,A29,2021-02-01 02:30:00,2021-02-01 13:19:00
3,A51,2021-02-01 09:51:00,2021-02-01 17:46:00
2,A47,2021-02-01 09:52:00,2021-02-01 20:22:00
1,A58,2021-02-01 02:07:00,2021-02-01 22:35:00
1,A50,2021-02-01 22:35:00,2021-02-01 22:37:00
0,A49,2021-02-01 13:19:00,2021-02-02 01:05:00
3,A36,2021-02-01 17:46:00,2021-02-02 04:12:00
2,A112,2021-02-01 20:22:00,2021-02-02 05:41:00
2,A53,2021-02-02 05:41:00,2021-02-02 05:47:00
1,A51,2021-02-01 22:37:00,2021-02-02 06:32:00
3,A16,2021-02-02 04:12:00,2021-02-02 06:57:00
0,A47,2021-02-02 01:05:00,2021-02-02 11:35:00
2,A45,2021-02-02 05:47:00,2021-02-02 15:44:00
0,A104,2021-02-02 11:35:00,2021-02-02 18:22:00
1,A39,2021-02-02 06:32:00,2021-02-02 18:51:00
2,A111,2021-02-02 15:44:00,2021-02-03 00:00:00
1,A19,2021-02-02 18:51:00,2021-02-03 02:57:00
3,A58,2021-02-02 06:57:00,2021-02-03 03:25:00
3,A50,2021-02-03 03:25:00,2021-02-03 03:27:00
0,A44,2021-02-02 18:22:00,2021-02-03 08:55:00
3,A51,2021-02-03 03:27:00,2021-02-03 11:22:00
2,A44,2021-02-03 00:00:00,2021-02-03 14:33:00
0,A107,2021-02-03 08:55:00,2021-02-03 17:16:00
3,A28,2021-02-03 11:22:00,2021-02-03 21:36:00
2,A107,2021-02-03 14:33:00,2021-02-03 22:54:00
