case_id,activity,time:timestamp:start,time:timestamp:end
0,A52,2021-07-28 00:00:00,2021-07-29 05:02:00
1,A52,2021-07-28 00:00:00,2021-07-29 05:02:00
2,A52,2021-07-28 00:00:00,2021-07-29 05:02:00
3,A52,2021-07-28 00:00:00,2021-07-29 05:02:00
4,A52,2021-07-28 00:00:00,2021-07-29 05:02:00
0,A43,2021-07-29 05:02:00,2021-07-29 05:42:00
1,A43,2021-07-29 05:02:00,2021-07-29 05:42:00
2,A43,2021-07-29 05:02:00,2021-07-29 05:42:00
3,A43,2021-07-29 05:02:00,2021-07-29 05:42:00
4,A43,2021-07-29 05:02:00,2021-07-29 05:42:00
0,A63,2021-07-29 05:42:00,2021-07-29 06:25:00
1,A63,2021-07-29 05:42:00,2021-07-29 06:25:00
2,A63,2021-07-29 05:42:00,2021-07-29 06:25:00
3,A63,2021-07-29 05:42:00,2021-07-29 06:25:00
4,A63,2021-07-29 05:42:00,2021-07-29 06:25:00
0,A60,2021-07-29 06:25:00,2021-07-29 10:18:00
1,A60,2021-07-29 06:25:00,2021-07-29 10:18:00
2,A60,2021-07-29 06:25:00,2021-07-29 10:18:00
3,A60,2021-07-29 06:25:00,2021-07-29 10:18:00
4,A60,2021-07-29 06:25:00,2021-07-29 10:18:00
1,A71,2021-07-29 10:18:00,2021-07-30 13:03:00
4,A71,2021-07-29 10:18:00,2021-07-30 13:03:00
0,A67,2021-07-29 10:18:00,2021-07-31 01:49:00
3,A67,2021-07-29 10:18:00,2021-07-31 01:49:00
1,A46,2021-07-30 13:03:00,2021-07-31 06:01:00
4,A46,2021-07-30 13:03:00,2021-07-31 06:01:00
2,A85,2021-07-29 10:18:00,2021-07-31 09:27:00
0,A46,2021-07-31 01:49:00,2021-07-31 18:47:00
3,A46,2021-07-31 01:49:00,2021-07-31 18:47:00
2,A62,2021-07-31 09:27:00,2021-08-02 09:18:00
2,A4,2021-08-02 09:18:00,2021-08-02 12:05:00
1,A57,2021-07-31 06:01:00,2021-08-02 12:46:00
4,A57,2021-07-31 06:01:00,2021-08-02 12:46:00
4,A18,2021-08-02 12:46:00,2021-08-02 16:33:00
0,A57,2021-07-31 18:47:00,2021-08-03 01:32:00
3,A57,2021-07-31 18:47:00,2021-08-03 01:32:00
3,A15,2021-08-03 01:32:00,2021-08-03 02:38:00
2,A58,2021-08-02 12:05:00,2021-08-03 08:33:00
2,A50,2021-08-03 08:33:00,2021-08-03 08:35:00
1,A61,2021-08-02 12:46:00,2021-08-03 10:02:00
4,A58,2021-08-02 16:33:00,2021-08-03 13:01:00
4,A50,2021-08-03 13:01:00,2021-08-03 13:03:00
1,A13,2021-08-03 10:02:00,2021-08-03 13:21:00
2,A51,2021-08-03 08:35:00,2021-08-03 16:30:00
4,A51,2021-08-03 13:03:00,2021-08-03 20:58:00
0,A61,2021-08-03 01:32:00,2021-08-03 22:48:00
3,A58,2021-08-03 02:38:00,2021-08-03 23:06:00
3,A50,2021-08-03 23:06:00,2021-08-03 23:08:00
0,A13,2021-08-03 22:48:00,2021-08-04 02:07:00
