Unnamed: 0,PROVISIONAL,BUQUE,IMO,FECHA_ETA,HORA_ETA,FECHA_ETD,HORA_ETD,TXTNUMIMO,TXTESLORA,TXTMANGA,TXTVELMAX,TXTCALADO
0,anon_provisional_0,anon_buque_1,anon_imo_0,06/10/2021 00:00:00,01/01/1900 08:00:00,06/11/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
1,anon_provisional_2,anon_buque_1,anon_imo_0,06/17/2021 00:00:00,01/01/1900 08:00:00,06/18/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
2,anon_provisional_3,anon_buque_1,anon_imo_0,06/24/2021 00:00:00,01/01/1900 08:00:00,06/25/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
3,anon_provisional_4,anon_buque_1,anon_imo_0,07/01/2021 00:00:00,01/01/1900 08:00:00,07/02/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
4,anon_provisional_5,anon_buque_1,anon_imo_0,07/08/2021 00:00:00,01/01/1900 08:00:00,07/09/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
5,anon_provisional_6,anon_buque_1,anon_imo_0,07/15/2021 00:00:00,01/01/1900 08:00:00,07/16/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
6,anon_provisional_7,anon_buque_1,anon_imo_0,07/22/2021 00:00:00,01/01/1900 08:00:00,07/23/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
7,anon_provisional_8,anon_buque_1,anon_imo_0,07/29/2021 00:00:00,01/01/1900 08:00:00,07/30/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
8,anon_provisional_9,anon_buque_1,anon_imo_0,08/05/2021 00:00:00,01/01/1900 08:00:00,08/06/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
9,anon_provisional_10,anon_buque_1,anon_imo_0,08/12/2021 00:00:00,01/01/1900 08:00:00,08/13/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
10,anon_provisional_11,anon_buque_1,anon_imo_0,08/19/2021 00:00:00,01/01/1900 08:00:00,08/20/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
11,anon_provisional_12,anon_buque_1,anon_imo_0,08/26/2021 00:00:00,01/01/1900 08:00:00,08/27/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
12,anon_provisional_13,anon_buque_1,anon_imo_0,01/14/2021 00:00:00,01/01/1900 08:00:00,01/15/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
13,anon_provisional_14,anon_buque_1,anon_imo_0,01/21/2021 00:00:00,01/01/1900 08:00:00,01/22/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
14,anon_provisional_15,anon_buque_1,anon_imo_0,10/21/2021 00:00:00,01/01/1900 08:00:00,10/22/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
15,anon_provisional_16,anon_buque_1,anon_imo_0,10/28/2021 00:00:00,01/01/1900 08:00:00,10/29/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
16,anon_provisional_17,anon_buque_1,anon_imo_0,11/04/2021 00:00:00,01/01/1900 08:00:00,11/05/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
17,anon_provisional_18,anon_buque_1,anon_imo_0,11/11/2021 00:00:00,01/01/1900 08:00:00,11/12/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
18,anon_provisional_19,anon_buque_1,anon_imo_0,11/18/2021 00:00:00,01/01/1900 08:00:00,11/19/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
19,anon_provisional_20,anon_buque_1,anon_imo_0,11/25/2021 00:00:00,01/01/1900 08:00:00,11/26/2021 00:00:00,01/01/1900 18:00:00,anon_imo_0,145.0,22.0,16.5,6.0
